station,valid,tmpf,dwpf,relh,skyc1,state
LOT,2018-01-01T00:15:00Z,4.8,-4.4,64.97,CLR,Illinois
LOT,2018-01-01T00:35:00Z,4.3,-4.4,66.48,CLR,Illinois
LOT,2018-01-01T00:55:00Z,3.9,-4.9,66.11,CLR,Illinois
LOT,2018-01-01T01:15:00Z,2.5,-5.4,68.84,CLR,Illinois
LOT,2018-01-01T01:35:00Z,1,-6.7,69.32,CLR,Illinois
LOT,2018-01-01T01:55:00Z,1.2,-6.2,70.36,CLR,Illinois
LOT,2018-01-01T02:15:00Z,1,-6.2,71.02,CLR,Illinois
LOT,2018-01-01T02:35:00Z,-1.5,-7.4,75.35,CLR,Illinois
LOT,2018-01-01T02:55:00Z,-2.2,-7.6,77.14,CLR,Illinois
LOT,2018-01-01T03:15:00Z,-3.5,-9,76.63,CLR,Illinois
LOT,2018-01-01T03:35:00Z,-3.3,-9.2,75.16,CLR,Illinois
LOT,2018-01-01T03:55:00Z,-4.2,-10.1,75.06,CLR,Illinois
LOT,2018-01-01T04:15:00Z,-4.9,-11.2,73.52,CLR,Illinois
LOT,2018-01-01T04:35:00Z,-5.1,-11.4,73.49,CLR,Illinois
LOT,2018-01-01T04:55:00Z,-4.2,-11,71.8,CLR,Illinois
LOT,2018-01-01T05:15:00Z,-6,-13,70.87,CLR,Illinois
LOT,2018-01-01T05:35:00Z,-5.8,-13,70.19,CLR,Illinois
LOT,2018-01-01T05:55:00Z,-6.3,-13.4,70.48,CLR,Illinois
LOT,2018-01-01T06:15:00Z,-6.7,-13.5,71.5,CLR,Illinois
LOT,2018-01-01T06:35:00Z,-6.2,-13.7,69.09,CLR,Illinois
LOT,2018-01-01T06:55:00Z,-6.2,-14.1,67.71,CLR,Illinois
LOT,2018-01-01T07:15:00Z,-6.2,-14.3,67.03,CLR,Illinois
LOT,2018-01-01T07:35:00Z,-6.3,-14.8,65.68,CLR,Illinois
LOT,2018-01-01T07:55:00Z,-6.7,-14.8,66.97,CLR,Illinois
LOT,2018-01-01T08:15:00Z,-7.2,-15.3,66.9,CLR,Illinois
LOT,2018-01-01T08:35:00Z,-7.6,-15.7,66.84,CLR,Illinois
LOT,2018-01-01T08:55:00Z,-8.7,-16.2,68.76,CLR,Illinois
LOT,2018-01-01T09:15:00Z,-8.5,-15.9,69.14,CLR,Illinois
LOT,2018-01-01T09:35:00Z,-9,-16.2,69.78,CLR,Illinois
LOT,2018-01-01T09:55:00Z,-9.4,-16.6,69.73,CLR,Illinois
LOT,2018-01-01T10:15:00Z,-9.6,-16.6,70.42,CLR,Illinois
LOT,2018-01-01T10:35:00Z,-9.9,-17,70.02,CLR,Illinois
LOT,2018-01-01T10:55:00Z,-10.3,-17.1,71.06,CLR,Illinois
LOT,2018-01-01T11:15:00Z,-10.3,-17.5,69.62,CLR,Illinois
LOT,2018-01-01T11:35:00Z,-10.3,-17.5,69.62,CLR,Illinois
LOT,2018-01-01T11:55:00Z,-10.3,-17.9,68.2,CLR,Illinois
LOT,2018-01-01T12:15:00Z,-10.5,-18.2,67.83,CLR,Illinois
LOT,2018-01-01T12:35:00Z,-10.7,-18.4,67.8,CLR,Illinois
LOT,2018-01-01T12:55:00Z,-11.6,-18.8,69.45,CLR,Illinois
LOT,2018-01-01T13:15:00Z,-11.7,-18.4,71.25,CLR,Illinois
LOT,2018-01-01T13:35:00Z,-11.2,-18.4,69.5,CLR,Illinois
LOT,2018-01-01T13:55:00Z,-11.2,-18.4,69.5,CLR,Illinois
LOT,2018-01-01T14:15:00Z,-11,-18.4,68.81,CLR,Illinois
LOT,2018-01-01T14:35:00Z,-10.3,-18.4,66.47,CLR,Illinois
LOT,2018-01-01T14:55:00Z,-9.6,-17.9,65.89,CLR,Illinois
LOT,2018-01-01T15:15:00Z,-9.4,-17.5,66.6,CLR,Illinois
LOT,2018-01-01T15:35:00Z,-9.2,-17.7,65.27,CLR,Illinois
LOT,2018-01-01T15:55:00Z,-8.1,-16.8,64.76,CLR,Illinois
LOT,2018-01-01T16:15:00Z,-7.8,-16.6,64.48,CLR,Illinois
LOT,2018-01-01T16:35:00Z,-6.9,-15.5,65.26,CLR,Illinois
LOT,2018-01-01T16:55:00Z,-6.2,-15.2,64.05,CLR,Illinois
LOT,2018-01-01T17:15:00Z,-5.8,-14.8,64.11,CLR,Illinois
LOT,2018-01-01T17:35:00Z,-5.8,-14.8,64.11,CLR,Illinois
LOT,2018-01-01T17:55:00Z,-4.9,-13.7,64.89,CLR,Illinois
LOT,2018-01-01T18:15:00Z,-4,-13.2,63.73,CLR,Illinois
LOT,2018-01-01T18:35:00Z,-3.8,-13,63.76,CLR,Illinois
LOT,2018-01-01T18:55:00Z,-3.1,-11.9,65.14,CLR,Illinois
LOT,2018-01-01T19:15:00Z,-3.3,-12.1,65.12,CLR,Illinois
LOT,2018-01-01T19:35:00Z,-2.7,-11.2,66.18,CLR,Illinois
LOT,2018-01-01T19:55:00Z,-2.6,-11.4,65.21,CLR,Illinois
LOT,2018-01-01T20:15:00Z,-2,-10.5,66.27,CLR,Illinois
LOT,2018-01-01T20:35:00Z,-2.6,-11.2,65.86,CLR,Illinois
LOT,2018-01-01T20:55:00Z,-2.7,-11.2,66.18,CLR,Illinois
LOT,2018-01-01T21:15:00Z,-2.9,-11.2,66.81,CLR,Illinois
LOT,2018-01-01T21:35:00Z,-3.3,-11.2,68.1,CLR,Illinois
LOT,2018-01-01T21:55:00Z,-4,-11.7,68.68,CLR,Illinois
LOT,2018-01-01T22:15:00Z,-4.4,-12.5,67.28,CLR,Illinois
LOT,2018-01-01T22:35:00Z,-5.8,-13,70.19,CLR,Illinois
LOT,2018-01-01T22:55:00Z,-6.7,-13.5,71.5,CLR,Illinois
LOT,2018-01-01T23:15:00Z,-6.9,-13.5,72.19,CLR,Illinois
LOT,2018-01-01T23:35:00Z,-8,-14.1,73.9,CLR,Illinois
LOT,2018-01-01T23:55:00Z,-8.1,-14.3,73.52,CLR,Illinois
LOT,2018-01-02T00:15:00Z,-8.1,-14.3,73.52,CLR,Illinois
LOT,2018-01-02T00:35:00Z,-8.1,-14.8,71.69,CLR,Illinois
LOT,2018-01-02T00:55:00Z,-8.5,-14.8,73.1,CLR,Illinois
LOT,2018-01-02T01:15:00Z,-8.7,-15,73.08,CLR,Illinois
LOT,2018-01-02T01:35:00Z,-9.2,-15.3,73.77,CLR,Illinois
LOT,2018-01-02T01:55:00Z,-9.8,-15.7,74.45,CLR,Illinois
LOT,2018-01-02T02:15:00Z,-10.3,-15.9,75.54,CLR,Illinois
LOT,2018-01-02T02:35:00Z,-10.7,-16.4,75.11,CLR,Illinois
LOT,2018-01-02T02:55:00Z,-10.7,-16.4,75.11,CLR,Illinois
LOT,2018-01-02T03:15:00Z,-11.2,-16.8,75.44,CLR,Illinois
LOT,2018-01-02T03:35:00Z,-11.2,-16.6,76.21,CLR,Illinois
LOT,2018-01-02T03:55:00Z,-11.7,-17.1,76.16,CLR,Illinois
LOT,2018-01-02T04:15:00Z,-11.4,-16.6,76.97,CLR,Illinois
LOT,2018-01-02T04:35:00Z,-12.1,-17.3,76.9,CLR,Illinois
LOT,2018-01-02T04:55:00Z,-12.6,-17.9,76.46,CLR,Illinois
LOT,2018-01-02T05:15:00Z,-11.6,-16.8,76.95,CLR,Illinois
LOT,2018-01-02T05:35:00Z,-11.4,-16.8,76.19,CLR,Illinois
LOT,2018-01-02T05:55:00Z,-11.9,-17,77.32,CLR,Illinois
LOT,2018-01-02T06:15:00Z,-12.3,-17.5,76.88,CLR,Illinois
LOT,2018-01-02T06:35:00Z,-12.3,-17.3,77.67,CLR,Illinois
LOT,2018-01-02T06:55:00Z,-12.3,-17.3,77.67,CLR,Illinois
LOT,2018-01-02T07:15:00Z,-13,-18,77.6,CLR,Illinois
LOT,2018-01-02T07:35:00Z,-13.9,-18.6,78.72,CLR,Illinois
LOT,2018-01-02T07:55:00Z,-13.4,-18.4,77.56,CLR,Illinois
LOT,2018-01-02T08:15:00Z,-13,-18,77.6,CLR,Illinois
LOT,2018-01-02T08:35:00Z,-12.6,-17.7,77.25,CLR,Illinois
LOT,2018-01-02T08:55:00Z,-12.8,-17.7,78.02,CLR,Illinois
LOT,2018-01-02T09:15:00Z,-12.6,-17.9,76.46,CLR,Illinois
LOT,2018-01-02T09:35:00Z,-12.6,-17.9,76.46,CLR,Illinois
LOT,2018-01-02T09:55:00Z,-13,-18,77.6,CLR,Illinois
LOT,2018-01-02T10:15:00Z,-14.1,-18.9,78.3,CLR,Illinois
LOT,2018-01-02T10:35:00Z,-14.4,-19.3,77.86,CLR,Illinois
LOT,2018-01-02T10:55:00Z,-14.8,-19.5,78.63,CLR,Illinois
LOT,2018-01-02T11:15:00Z,-14.8,-19.5,78.63,CLR,Illinois
LOT,2018-01-02T11:35:00Z,-14.8,-19.7,77.82,CLR,Illinois
LOT,2018-01-02T11:55:00Z,-15,-19.8,78.21,CLR,Illinois
LOT,2018-01-02T12:15:00Z,-15.2,-20.2,77.38,CLR,Illinois
LOT,2018-01-02T12:35:00Z,-15.3,-20.2,77.77,CLR,Illinois
LOT,2018-01-02T12:55:00Z,-15.3,-20.2,77.77,CLR,Illinois
LOT,2018-01-02T13:15:00Z,-15.2,-20.2,77.38,CLR,Illinois
LOT,2018-01-02T13:35:00Z,-14.8,-19.7,77.82,CLR,Illinois
LOT,2018-01-02T13:55:00Z,-14.1,-19.3,76.69,CLR,Illinois
LOT,2018-01-02T14:15:00Z,-13.2,-18.4,76.79,CLR,Illinois
LOT,2018-01-02T14:35:00Z,-11.9,-17.5,75.36,CLR,Illinois
LOT,2018-01-02T14:55:00Z,-10.7,-16.6,74.35,CLR,Illinois
LOT,2018-01-02T15:15:00Z,-9.4,-15.9,72.26,CLR,Illinois
LOT,2018-01-02T15:35:00Z,-8.7,-15.7,70.53,CLR,Illinois
LOT,2018-01-02T15:55:00Z,-8.1,-15.2,70.25,CLR,Illinois
LOT,2018-01-02T16:15:00Z,-7.8,-15,69.94,CLR,Illinois
LOT,2018-01-02T16:35:00Z,-6.7,-14.4,68.33,CLR,Illinois
LOT,2018-01-02T16:55:00Z,-5.6,-13.2,68.82,CLR,Illinois
LOT,2018-01-02T17:15:00Z,-4,-11.6,69.03,CLR,Illinois
LOT,2018-01-02T17:35:00Z,-2.7,-10.5,68.51,CLR,Illinois
LOT,2018-01-02T17:55:00Z,-1.7,-9.4,68.98,CLR,Illinois
LOT,2018-01-02T18:15:00Z,-0.4,-8,69.48,CLR,Illinois
LOT,2018-01-02T18:35:00Z,-0.2,-7.8,69.51,CLR,Illinois
LOT,2018-01-02T18:55:00Z,1.2,-6.7,68.68,CLR,Illinois
LOT,2018-01-02T19:15:00Z,1.8,-6,69.09,CLR,Illinois
LOT,2018-01-02T19:35:00Z,1.8,-6,69.09,CLR,Illinois
LOT,2018-01-02T19:55:00Z,1.9,-6.2,68.11,CLR,Illinois
LOT,2018-01-02T20:15:00Z,1.9,-6.5,67.12,CLR,Illinois
LOT,2018-01-02T20:35:00Z,3,-6,65.35,CLR,Illinois
