station,valid,tmpf,dwpf,relh,skyc1,state
M30,2018-01-01T00:15:00Z,13.6,1.4,57.58,CLR,Illinois
M30,2018-01-01T00:35:00Z,13.1,1.4,58.86,CLR,Illinois
M30,2018-01-01T00:55:00Z,12.6,1.4,60.18,CLR,Illinois
M30,2018-01-01T01:15:00Z,12.2,1,60.12,CLR,Illinois
M30,2018-01-01T01:35:00Z,11.8,1,61.19,CLR,Illinois
M30,2018-01-01T01:55:00Z,11.3,1.2,63.15,CLR,Illinois
M30,2018-01-01T02:15:00Z,11.1,0.5,61.66,SCT,Illinois
M30,2018-01-01T02:35:00Z,10.9,1,63.69,SCT,Illinois
M30,2018-01-01T02:55:00Z,10.9,1.4,64.88,BKN,Illinois
M30,2018-01-01T03:15:00Z,10.9,2.1,67.03,OVC,Illinois
M30,2018-01-01T03:35:00Z,10,1.4,67.54,OVC,Illinois
M30,2018-01-01T03:55:00Z,9.5,1.4,69.07,OVC,Illinois
M30,2018-01-01T04:15:00Z,9.5,1.6,69.72,OVC,Illinois
M30,2018-01-01T04:35:00Z,9.3,1.2,69.04,OVC,Illinois
M30,2018-01-01T04:55:00Z,9,0.5,67.73,OVC,Illinois
M30,2018-01-01T05:15:00Z,8.6,0.5,68.96,OVC,Illinois
M30,2018-01-01T05:35:00Z,8.1,-0.2,68.25,BKN,Illinois
M30,2018-01-01T05:55:00Z,7.7,0.3,71.14,BKN,Illinois
M30,2018-01-01T06:15:00Z,8.1,0.9,71.86,BKN,Illinois
M30,2018-01-01T06:35:00Z,7.7,0.1,70.48,OVC,Illinois
M30,2018-01-01T06:55:00Z,7.2,-0.6,69.76,SCT,Illinois
M30,2018-01-01T07:15:00Z,6.4,-0.6,72.34,CLR,Illinois
M30,2018-01-01T07:35:00Z,6.4,-1.3,69.99,CLR,Illinois
M30,2018-01-01T07:55:00Z,5.9,-1.3,71.6,CLR,Illinois
M30,2018-01-01T08:15:00Z,5.9,-1.3,71.6,CLR,Illinois
M30,2018-01-01T08:35:00Z,5.7,-1.3,72.26,CLR,Illinois
M30,2018-01-01T08:55:00Z,5.5,-1.3,72.92,CLR,Illinois
M30,2018-01-01T09:15:00Z,5,-1.3,74.61,CLR,Illinois
M30,2018-01-01T09:35:00Z,5,-0.9,76.03,CLR,Illinois
M30,2018-01-01T09:55:00Z,5,-0.8,76.39,CLR,Illinois
M30,2018-01-01T10:15:00Z,4.8,-0.9,76.73,CLR,Illinois
M30,2018-01-01T10:35:00Z,4.1,-1.3,77.75,CLR,Illinois
M30,2018-01-01T10:55:00Z,3.7,-1.3,79.2,CLR,Illinois
M30,2018-01-01T11:15:00Z,3.7,-1.5,78.45,CLR,Illinois
M30,2018-01-01T11:35:00Z,3.7,-1.7,77.72,CLR,Illinois
M30,2018-01-01T11:55:00Z,3.6,-2.6,74.81,CLR,Illinois
M30,2018-01-01T12:15:00Z,3.2,-3.5,73.01,CLR,Illinois
M30,2018-01-01T12:35:00Z,3,-4,71.95,CLR,Illinois
M30,2018-01-01T12:55:00Z,2.7,-4.5,71.23,CLR,Illinois
M30,2018-01-01T13:15:00Z,2.7,-4.9,69.87,CLR,Illinois
M30,2018-01-01T13:35:00Z,2.5,-4.9,70.52,CLR,Illinois
M30,2018-01-01T13:55:00Z,3.2,-4.7,68.93,CLR,Illinois
M30,2018-01-01T14:15:00Z,4.1,-4.2,67.74,CLR,Illinois
M30,2018-01-01T14:35:00Z,4.6,-3.5,68.45,CLR,Illinois
M30,2018-01-01T14:55:00Z,5,-3.8,66.25,CLR,Illinois
M30,2018-01-01T15:15:00Z,5.4,-4.5,62.91,CLR,Illinois
M30,2018-01-01T15:35:00Z,5.9,-4.5,61.49,CLR,Illinois
M30,2018-01-01T15:55:00Z,7.2,-5.1,56.31,CLR,Illinois
M30,2018-01-01T16:15:00Z,8.6,-4.5,54.41,CLR,Illinois
M30,2018-01-01T16:35:00Z,9.1,-5.4,50.95,CLR,Illinois
M30,2018-01-01T16:55:00Z,10,-4.2,51.84,CLR,Illinois
M30,2018-01-01T17:15:00Z,11.1,-5.4,46.6,CLR,Illinois
M30,2018-01-01T17:35:00Z,11.3,-6.7,43.37,CLR,Illinois
M30,2018-01-01T17:55:00Z,12.2,-6.9,41.27,CLR,Illinois
M30,2018-01-01T18:15:00Z,12.6,-5.6,43.18,CLR,Illinois
M30,2018-01-01T18:35:00Z,13.5,-5.8,41.11,CLR,Illinois
M30,2018-01-01T18:55:00Z,13.6,-6.5,39.56,CLR,Illinois
M30,2018-01-01T19:15:00Z,14.2,-7.4,36.89,CLR,Illinois
M30,2018-01-01T19:35:00Z,14.5,-7.1,36.94,CLR,Illinois
M30,2018-01-01T19:55:00Z,15.6,-6.9,35.55,CLR,Illinois
M30,2018-01-01T20:15:00Z,15.1,-7.4,35.46,CLR,Illinois
M30,2018-01-01T20:35:00Z,15.6,-7.8,34.03,CLR,Illinois
M30,2018-01-01T20:55:00Z,15.8,-7.8,33.74,CLR,Illinois
M30,2018-01-01T21:15:00Z,15.3,-8.3,33.65,CLR,Illinois
M30,2018-01-01T21:35:00Z,15.1,-8.3,33.94,CLR,Illinois
M30,2018-01-01T21:55:00Z,14.7,-9,33.37,CLR,Illinois
M30,2018-01-01T22:15:00Z,14,-8.5,35.27,CLR,Illinois
M30,2018-01-01T22:35:00Z,13.5,-8.1,36.76,CLR,Illinois
M30,2018-01-01T22:55:00Z,12.2,-8.1,38.93,CLR,Illinois
M30,2018-01-01T23:15:00Z,11.3,-7.6,41.51,CLR,Illinois
M30,2018-01-01T23:35:00Z,10.9,-7.4,42.67,CLR,Illinois
M30,2018-01-01T23:55:00Z,10.4,-7.2,44.06,CLR,Illinois
M30,2018-01-02T00:15:00Z,10,-7.2,44.85,CLR,Illinois
M30,2018-01-02T00:35:00Z,9.1,-6.7,47.85,CLR,Illinois
M30,2018-01-02T00:55:00Z,9.3,-7.1,46.51,CLR,Illinois
M30,2018-01-02T01:15:00Z,8.6,-6.7,48.93,CLR,Illinois
M30,2018-01-02T01:35:00Z,8.4,-6.7,49.38,CLR,Illinois
M30,2018-01-02T01:55:00Z,8.2,-7.1,48.86,CLR,Illinois
M30,2018-01-02T02:15:00Z,7.5,-6.9,50.93,CLR,Illinois
M30,2018-01-02T02:35:00Z,7.2,-6.7,52.13,CLR,Illinois
M30,2018-01-02T02:55:00Z,6.8,-6.9,52.57,CLR,Illinois
M30,2018-01-02T03:15:00Z,6.6,-6.7,53.56,CLR,Illinois
M30,2018-01-02T03:35:00Z,6.4,-6.7,54.05,CLR,Illinois
M30,2018-01-02T03:55:00Z,5.9,-6.3,56.38,CLR,Illinois
M30,2018-01-02T04:15:00Z,5.9,-6.2,56.65,CLR,Illinois
M30,2018-01-02T04:35:00Z,4.6,-5.4,62.49,CLR,Illinois
M30,2018-01-02T04:55:00Z,4.8,-5.8,60.74,CLR,Illinois
M30,2018-01-02T05:15:00Z,4.1,-5.3,64.25,CLR,Illinois
M30,2018-01-02T05:35:00Z,4.3,-5.3,63.66,CLR,Illinois
M30,2018-01-02T05:55:00Z,4.1,-5.4,63.94,CLR,Illinois
M30,2018-01-02T06:15:00Z,3.7,-4.9,66.72,CLR,Illinois
M30,2018-01-02T06:35:00Z,4.1,-5.3,64.25,CLR,Illinois
M30,2018-01-02T06:55:00Z,3.7,-5.8,63.89,CLR,Illinois
M30,2018-01-02T07:15:00Z,3.2,-5.1,67.62,CLR,Illinois
M30,2018-01-02T07:35:00Z,2.1,-5.1,71.15,CLR,Illinois
M30,2018-01-02T07:55:00Z,1.8,-4.4,74.62,CLR,Illinois
M30,2018-01-02T08:15:00Z,1.8,-4.2,75.34,CLR,Illinois
M30,2018-01-02T08:35:00Z,1,-4.2,78.2,CLR,Illinois
M30,2018-01-02T08:55:00Z,0.7,-4.2,79.3,CLR,Illinois
M30,2018-01-02T09:15:00Z,0.7,-4.2,79.3,CLR,Illinois
M30,2018-01-02T09:35:00Z,0.5,-4,80.82,CLR,Illinois
M30,2018-01-02T09:55:00Z,-0.4,-4.9,80.74,CLR,Illinois
M30,2018-01-02T10:15:00Z,-0.2,-4.4,81.93,CLR,Illinois
M30,2018-01-02T10:35:00Z,0.1,-4,82.35,CLR,Illinois
M30,2018-01-02T10:55:00Z,0,-4,82.74,CLR,Illinois
M30,2018-01-02T11:15:00Z,-1.1,-5.1,82.65,CLR,Illinois
M30,2018-01-02T11:35:00Z,0.1,-4,82.35,CLR,Illinois
M30,2018-01-02T11:55:00Z,0.1,-4.9,78.87,CLR,Illinois
