station,valid,tmpf,dwpf,relh,skyc1,state
MWA,2018-01-01T00:45:00Z,12.2,1.4,61.25,OVC,Illinois
MWA,2018-01-01T01:15:00Z,12.2,1.4,61.25,OVC,Illinois
MWA,2018-01-01T01:35:00Z,11.7,0.5,60.04,BKN,Illinois
MWA,2018-01-01T01:55:00Z,11.8,1,61.19,OVC,Illinois
MWA,2018-01-01T02:15:00Z,11.7,1,61.46,OVC,Illinois
MWA,2018-01-01T02:35:00Z,11.3,1.2,63.15,OVC,Illinois
MWA,2018-01-01T02:55:00Z,10.2,0.7,64.79,BKN,Illinois
MWA,2018-01-01T03:15:00Z,9.5,0.5,66.23,SCT,Illinois
MWA,2018-01-01T03:35:00Z,9.5,0.9,67.48,BKN,Illinois
MWA,2018-01-01T03:55:00Z,9.3,0.3,66.2,OVC,Illinois
MWA,2018-01-01T04:15:00Z,9.1,-0.4,64.64,OVC,Illinois
MWA,2018-01-01T04:35:00Z,8.4,-0.6,66.08,OVC,Illinois
MWA,2018-01-01T04:55:00Z,7.7,-0.8,67.56,SCT,Illinois
MWA,2018-01-01T05:15:00Z,7.5,-0.8,68.17,SCT,Illinois
MWA,2018-01-01T05:35:00Z,7.2,-1.1,68.14,CLR,Illinois
MWA,2018-01-01T05:55:00Z,6.8,-1.3,68.73,CLR,Illinois
MWA,2018-01-01T06:15:00Z,6.6,-1.3,69.36,CLR,Illinois
MWA,2018-01-01T06:35:00Z,6.4,-1.3,69.99,CLR,Illinois
MWA,2018-01-01T06:55:00Z,5.9,-1.1,72.28,CLR,Illinois
MWA,2018-01-01T07:15:00Z,5.7,-1.3,72.26,CLR,Illinois
MWA,2018-01-01T07:35:00Z,5.2,-1.5,73.23,CLR,Illinois
MWA,2018-01-01T07:55:00Z,5,-1.7,73.21,CLR,Illinois
MWA,2018-01-01T08:15:00Z,4.6,-2,73.51,CLR,Illinois
MWA,2018-01-01T08:35:00Z,4.5,-2.2,73.16,CLR,Illinois
MWA,2018-01-01T08:55:00Z,4.1,-2.4,73.81,CLR,Illinois
MWA,2018-01-01T09:15:00Z,4.1,-2.4,73.81,CLR,Illinois
MWA,2018-01-01T09:35:00Z,3.7,-3.5,71.34,CLR,Illinois
MWA,2018-01-01T09:55:00Z,3.7,-4,69.66,CLR,Illinois
MWA,2018-01-01T10:15:00Z,3.6,-4.4,68.65,CLR,Illinois
MWA,2018-01-01T10:35:00Z,3.2,-4,71.29,CLR,Illinois
MWA,2018-01-01T10:55:00Z,2.8,-4.5,70.9,CLR,Illinois
MWA,2018-01-01T11:15:00Z,2.7,-5.1,69.2,CLR,Illinois
MWA,2018-01-01T11:35:00Z,2.1,-5.1,71.15,CLR,Illinois
MWA,2018-01-01T11:55:00Z,1.8,-6,69.09,CLR,Illinois
MWA,2018-01-01T12:15:00Z,1.4,-5.8,71.07,CLR,Illinois
MWA,2018-01-01T12:35:00Z,1,-6.5,70,CLR,Illinois
MWA,2018-01-01T12:45:00Z,1.4,-5.8,71.07,CLR,Illinois
MWA,2018-01-01T13:45:00Z,-0.4,-7.6,70.85,CLR,Illinois
