station,valid,tmpf,dwpf,relh,skyc1,state
OLY,2018-01-01T00:15:00Z,5.5,-3.6,65.38,CLR,Illinois
OLY,2018-01-01T00:35:00Z,5,-3.5,67.21,CLR,Illinois
OLY,2018-01-01T00:55:00Z,4.6,-3.8,67.48,CLR,Illinois
OLY,2018-01-01T01:15:00Z,4.1,-3.5,70.04,CLR,Illinois
OLY,2018-01-01T01:35:00Z,3.9,-4,69.02,CLR,Illinois
OLY,2018-01-01T01:55:00Z,3.6,-3.8,70.65,CLR,Illinois
OLY,2018-01-01T02:10:00Z,3.2,-4,71.29,CLR,Illinois
OLY,2018-01-01T02:35:00Z,3.2,-4,71.29,CLR,Illinois
OLY,2018-01-01T02:55:00Z,3.2,-4,71.29,CLR,Illinois
OLY,2018-01-01T03:15:00Z,3,-4,71.95,CLR,Illinois
OLY,2018-01-01T03:35:00Z,3,-3.8,72.64,CLR,Illinois
OLY,2018-01-01T03:55:00Z,3.2,-4,71.29,CLR,Illinois
OLY,2018-01-01T04:15:00Z,3.2,-4,71.29,CLR,Illinois
OLY,2018-01-01T04:35:00Z,3.2,-4,71.29,CLR,Illinois
OLY,2018-01-01T04:55:00Z,3.2,-4,71.29,CLR,Illinois
OLY,2018-01-01T05:15:00Z,3.2,-4,71.29,CLR,Illinois
OLY,2018-01-01T05:35:00Z,3,-4.2,71.26,CLR,Illinois
OLY,2018-01-01T05:55:00Z,3,-4,71.95,CLR,Illinois
OLY,2018-01-01T06:15:00Z,2.8,-4.2,71.92,CLR,Illinois
OLY,2018-01-01T06:35:00Z,2.7,-4.5,71.23,CLR,Illinois
OLY,2018-01-01T06:55:00Z,2.3,-5.1,70.5,CLR,Illinois
OLY,2018-01-01T07:15:00Z,2.1,-5.4,70.13,CLR,Illinois
OLY,2018-01-01T07:35:00Z,1.4,-5.8,71.07,CLR,Illinois
OLY,2018-01-01T07:55:00Z,1.4,-5.8,71.07,CLR,Illinois
OLY,2018-01-01T08:15:00Z,1,-6.5,70,CLR,Illinois
OLY,2018-01-01T08:35:00Z,0.5,-7.1,69.6,CLR,Illinois
OLY,2018-01-01T08:55:00Z,0.5,-8.1,66.29,CLR,Illinois
OLY,2018-01-01T09:15:00Z,0.1,-8.1,67.54,CLR,Illinois
OLY,2018-01-01T09:35:00Z,0,-8.5,66.54,CLR,Illinois
OLY,2018-01-01T09:55:00Z,-0.4,-8.5,67.81,CLR,Illinois
OLY,2018-01-01T10:15:00Z,-1.1,-9.2,67.71,CLR,Illinois
OLY,2018-01-01T10:35:00Z,-1.7,-9.8,67.64,CLR,Illinois
OLY,2018-01-01T10:55:00Z,-2.2,-10.7,66.25,CLR,Illinois
OLY,2018-01-01T11:15:00Z,-2.4,-11.2,65.24,CLR,Illinois
OLY,2018-01-01T11:35:00Z,-2.7,-11.2,66.18,CLR,Illinois
OLY,2018-01-01T11:55:00Z,-3.1,-11.4,66.78,CLR,Illinois
OLY,2018-01-01T12:15:00Z,-3.5,-11.7,67.06,CLR,Illinois
OLY,2018-01-01T12:35:00Z,-4,-13,64.37,CLR,Illinois
OLY,2018-01-01T12:55:00Z,-4,-12.8,65.02,CLR,Illinois
OLY,2018-01-01T13:15:00Z,-4.4,-12.8,66.27,CLR,Illinois
OLY,2018-01-01T13:35:00Z,-4,-13,64.37,CLR,Illinois
OLY,2018-01-01T13:55:00Z,-4,-12.5,66,CLR,Illinois
OLY,2018-01-01T14:15:00Z,-3.5,-12.6,64.12,CLR,Illinois
OLY,2018-01-01T14:35:00Z,-2.6,-12.3,62.36,CLR,Illinois
OLY,2018-01-01T14:55:00Z,-2,-11.2,64.02,CLR,Illinois
OLY,2018-01-01T15:15:00Z,-1.5,-11.2,62.52,CLR,Illinois
