station,valid,tmpf,dwpf,relh,skyc1,state
PNT,2018-01-01T00:15:00Z,-1.5,-6.5,78.72,CLR,Illinois
PNT,2018-01-01T00:35:00Z,-2.4,-8,76.37,CLR,Illinois
PNT,2018-01-01T00:55:00Z,-2.7,-7.8,78.22,CLR,Illinois
PNT,2018-01-01T01:15:00Z,-2,-7.8,75.67,CLR,Illinois
PNT,2018-01-01T01:35:00Z,-5.4,-10.8,76.82,CLR,Illinois
PNT,2018-01-01T01:55:00Z,-4.2,-8.9,79.63,CLR,Illinois
PNT,2018-01-01T02:15:00Z,-5.1,-9.9,79.16,CLR,Illinois
PNT,2018-01-01T02:35:00Z,-5.8,-10.1,81.07,CLR,Illinois
PNT,2018-01-01T02:55:00Z,-6.7,-11.2,80.19,CLR,Illinois
PNT,2018-01-01T03:15:00Z,-6.3,-10.5,81.43,CLR,Illinois
PNT,2018-01-01T03:35:00Z,-7.4,-12.1,79.34,CLR,Illinois
PNT,2018-01-01T03:55:00Z,-8.3,-13.2,78.46,CLR,Illinois
PNT,2018-01-01T04:15:00Z,-9.2,-13.7,79.97,CLR,Illinois
PNT,2018-01-01T04:35:00Z,-12.1,-15.7,83.44,CLR,Illinois
PNT,2018-01-01T04:55:00Z,-13,-16.1,85.52,CLR,Illinois
PNT,2018-01-01T05:15:00Z,-11,-14.3,84.8,CLR,Illinois
PNT,2018-01-01T05:35:00Z,-9.6,-14.4,78.73,CLR,Illinois
PNT,2018-01-01T05:55:00Z,-10.5,-15.5,77.85,CLR,Illinois
PNT,2018-01-01T06:15:00Z,-14.8,-19.7,77.82,CLR,Illinois
PNT,2018-01-01T06:35:00Z,-15.2,-19.5,80.24,CLR,Illinois
PNT,2018-01-01T06:55:00Z,-15.2,-19.3,81.08,CLR,Illinois
PNT,2018-01-01T07:15:00Z,-17.1,-21.1,81.33,CLR,Illinois
PNT,2018-01-01T07:35:00Z,-17,-21.3,80.08,CLR,Illinois
PNT,2018-01-01T07:55:00Z,-15.7,-20.4,78.55,CLR,Illinois
PNT,2018-01-01T08:15:00Z,-16.2,-21.1,77.68,CLR,Illinois
PNT,2018-01-01T08:35:00Z,-16.4,-21.1,78.48,CLR,Illinois
PNT,2018-01-01T08:55:00Z,-17,-21.1,80.92,CLR,Illinois
PNT,2018-01-01T09:15:00Z,-18.6,-23.1,79.09,CLR,Illinois
PNT,2018-01-01T09:35:00Z,-18.8,-23.1,79.91,CLR,Illinois
PNT,2018-01-01T09:55:00Z,-17.7,-22.2,79.18,CLR,Illinois
PNT,2018-01-01T10:15:00Z,-18.8,-23.3,79.07,CLR,Illinois
PNT,2018-01-01T10:35:00Z,-17.7,-22.2,79.18,CLR,Illinois
PNT,2018-01-01T10:55:00Z,-18,-22.9,77.5,CLR,Illinois
PNT,2018-01-01T11:15:00Z,-18,-22.9,77.5,CLR,Illinois
PNT,2018-01-01T11:35:00Z,-18.2,-23.1,77.48,CLR,Illinois
PNT,2018-01-01T11:55:00Z,-18.9,-23.8,77.41,CLR,Illinois
PNT,2018-01-01T12:15:00Z,-19.7,-24.7,76.91,CLR,Illinois
PNT,2018-01-01T12:35:00Z,-19.7,-24.5,77.74,CLR,Illinois
PNT,2018-01-01T12:55:00Z,-21.1,-26.3,75.95,CLR,Illinois
PNT,2018-01-01T13:15:00Z,-20.4,-25.2,77.66,CLR,Illinois
PNT,2018-01-01T13:35:00Z,-20.6,-25.8,76,CLR,Illinois
PNT,2018-01-01T13:55:00Z,-20.4,-25.6,76.02,CLR,Illinois
PNT,2018-01-01T14:15:00Z,-18.9,-24.7,73.8,CLR,Illinois
PNT,2018-01-01T14:35:00Z,-18.4,-24,74.64,CLR,Illinois
PNT,2018-01-01T14:55:00Z,-17,-22.9,73.63,CLR,Illinois
PNT,2018-01-01T15:15:00Z,-16.1,-22,73.73,CLR,Illinois
PNT,2018-01-01T15:35:00Z,-15.3,-21.5,72.68,CLR,Illinois
PNT,2018-01-01T15:55:00Z,-14.8,-21.1,72.36,CLR,Illinois
PNT,2018-01-01T16:15:00Z,-13.9,-20.2,72.47,CLR,Illinois
PNT,2018-01-01T16:35:00Z,-13.2,-20.2,69.96,CLR,Illinois
PNT,2018-01-01T16:55:00Z,-12.3,-19.3,70.08,CLR,Illinois
PNT,2018-01-01T17:15:00Z,-11.6,-18.8,69.45,CLR,Illinois
PNT,2018-01-01T17:35:00Z,-11.2,-18.4,69.5,CLR,Illinois
PNT,2018-01-01T17:55:00Z,-10.5,-17.5,70.31,CLR,Illinois
PNT,2018-01-01T18:15:00Z,-10.1,-17.5,68.93,CLR,Illinois
PNT,2018-01-01T18:35:00Z,-9.4,-16.6,69.73,CLR,Illinois
PNT,2018-01-01T18:55:00Z,-9.4,-16.2,71.17,CLR,Illinois
PNT,2018-01-01T19:15:00Z,-9,-16.1,70.14,CLR,Illinois
PNT,2018-01-01T19:35:00Z,-8.7,-15.7,70.53,CLR,Illinois
PNT,2018-01-01T19:55:00Z,-7.8,-15,69.94,CLR,Illinois
PNT,2018-01-01T20:15:00Z,-7.2,-14.8,68.61,CLR,Illinois
PNT,2018-01-01T20:35:00Z,-6.9,-14.3,69.35,CLR,Illinois
PNT,2018-01-01T20:55:00Z,-6.3,-14.1,68.04,CLR,Illinois
PNT,2018-01-01T21:15:00Z,-6.7,-14.6,67.65,CLR,Illinois
PNT,2018-01-01T21:35:00Z,-6.7,-14.8,66.97,CLR,Illinois
PNT,2018-01-01T21:55:00Z,-7.1,-14.8,68.28,CLR,Illinois
PNT,2018-01-01T22:15:00Z,-7.8,-15,69.94,CLR,Illinois
PNT,2018-01-01T22:35:00Z,-8.5,-15.5,70.56,CLR,Illinois
PNT,2018-01-01T22:55:00Z,-8.1,-15.2,70.25,CLR,Illinois
PNT,2018-01-01T23:15:00Z,-8.1,-15,70.97,CLR,Illinois
PNT,2018-01-01T23:35:00Z,-8.1,-15,70.97,CLR,Illinois
PNT,2018-01-01T23:55:00Z,-8,-15.2,69.91,CLR,Illinois
PNT,2018-01-02T00:15:00Z,-8.3,-15.2,70.94,CLR,Illinois
PNT,2018-01-02T00:35:00Z,-9.4,-16.4,70.45,CLR,Illinois
PNT,2018-01-02T00:55:00Z,-11.2,-17.5,72.79,CLR,Illinois
PNT,2018-01-02T01:15:00Z,-11.7,-17.7,73.86,CLR,Illinois
PNT,2018-01-02T01:35:00Z,-12.8,-18.4,75.27,CLR,Illinois
PNT,2018-01-02T01:55:00Z,-13.5,-18.9,75.97,CLR,Illinois
PNT,2018-01-02T02:15:00Z,-13.7,-19.1,75.95,CLR,Illinois
PNT,2018-01-02T02:35:00Z,-14.1,-18.9,78.3,CLR,Illinois
PNT,2018-01-02T02:55:00Z,-14.8,-20,76.62,CLR,Illinois
PNT,2018-01-02T03:15:00Z,-15.2,-20.4,76.58,CLR,Illinois
PNT,2018-01-02T03:35:00Z,-15,-20,77.4,CLR,Illinois
PNT,2018-01-02T03:55:00Z,-16.6,-21.6,77.24,CLR,Illinois
PNT,2018-01-02T04:15:00Z,-15.2,-20.2,77.38,CLR,Illinois
PNT,2018-01-02T04:35:00Z,-15.5,-20.4,77.75,CLR,Illinois
PNT,2018-01-02T04:55:00Z,-14.8,-19.8,77.42,CLR,Illinois
PNT,2018-01-02T05:15:00Z,-13.7,-18.6,77.93,CLR,Illinois
PNT,2018-01-02T05:35:00Z,-13.7,-19.1,75.95,CLR,Illinois
PNT,2018-01-02T05:55:00Z,-13.9,-19.3,75.93,CLR,Illinois
PNT,2018-01-02T06:15:00Z,-14.8,-20,76.62,CLR,Illinois
PNT,2018-01-02T06:35:00Z,-16.2,-21.1,77.68,CLR,Illinois
PNT,2018-01-02T06:55:00Z,-14.3,-19.1,78.28,CLR,Illinois
PNT,2018-01-02T07:15:00Z,-14.8,-19.3,79.45,CLR,Illinois
PNT,2018-01-02T07:35:00Z,-15.2,-19.7,79.41,CLR,Illinois
PNT,2018-01-02T07:55:00Z,-14.8,-19.3,79.45,CLR,Illinois
PNT,2018-01-02T08:15:00Z,-15,-19.7,78.61,CLR,Illinois
PNT,2018-01-02T08:35:00Z,-15.3,-19.8,79.4,CLR,Illinois
PNT,2018-01-02T08:55:00Z,-14.4,-19.3,77.86,CLR,Illinois
PNT,2018-01-02T09:15:00Z,-14.8,-19.3,79.45,CLR,Illinois
PNT,2018-01-02T09:35:00Z,-16.1,-20.7,78.92,CLR,Illinois
PNT,2018-01-02T09:55:00Z,-17.3,-21.6,80.05,CLR,Illinois
PNT,2018-01-02T10:15:00Z,-17,-21.6,78.83,CLR,Illinois
PNT,2018-01-02T10:35:00Z,-17.5,-21.3,82.15,CLR,Illinois
PNT,2018-01-02T10:55:00Z,-17.1,-21.5,79.65,CLR,Illinois
PNT,2018-01-02T11:15:00Z,-17.7,-22,80.01,CLR,Illinois
PNT,2018-01-02T11:35:00Z,-18.2,-22.4,80.39,CLR,Illinois
PNT,2018-01-02T11:55:00Z,-17.9,-22,80.84,CLR,Illinois
PNT,2018-01-02T12:15:00Z,-17.9,-22,80.84,CLR,Illinois
PNT,2018-01-02T12:35:00Z,-17.5,-21.5,81.3,CLR,Illinois
PNT,2018-01-02T12:55:00Z,-17.5,-21.3,82.15,CLR,Illinois
PNT,2018-01-02T13:15:00Z,-17,-21.1,80.92,CLR,Illinois
PNT,2018-01-02T13:35:00Z,-18,-22.2,80.4,CLR,Illinois
PNT,2018-01-02T13:55:00Z,-17.3,-21.6,80.05,CLR,Illinois
PNT,2018-01-02T14:15:00Z,-15,-19.3,80.26,CLR,Illinois
PNT,2018-01-02T14:35:00Z,-14.3,-18.8,79.5,CLR,Illinois
PNT,2018-01-02T14:55:00Z,-13,-17.5,79.62,CLR,Illinois
PNT,2018-01-02T15:15:00Z,-11.2,-15.7,79.79,CLR,Illinois
PNT,2018-01-02T15:35:00Z,-10.1,-15,78.29,CLR,Illinois
PNT,2018-01-02T15:55:00Z,-9,-14.3,76.83,CLR,Illinois
PNT,2018-01-02T16:15:00Z,-7.8,-13.4,75.81,CLR,Illinois
PNT,2018-01-02T16:35:00Z,-6.7,-12.8,74.05,CLR,Illinois
PNT,2018-01-02T16:55:00Z,-5.1,-11.2,74.23,CLR,Illinois
PNT,2018-01-02T17:15:00Z,-4,-10.3,73.62,CLR,Illinois
PNT,2018-01-02T17:35:00Z,-3.1,-9.4,73.72,CLR,Illinois
PNT,2018-01-02T17:55:00Z,-2.4,-8.5,74.53,CLR,Illinois
PNT,2018-01-02T18:15:00Z,-2,-8.1,74.57,CLR,Illinois
PNT,2018-01-02T18:35:00Z,-1.3,-7.6,73.92,CLR,Illinois
PNT,2018-01-02T18:55:00Z,-0.6,-7.4,72.22,CLR,Illinois
