station,valid,tmpf,dwpf,relh,skyc1,state
RPJ,2018-01-01T00:15:00Z,0.5,-8,66.61,CLR,Illinois
RPJ,2018-01-01T00:35:00Z,0.3,-8.5,65.62,CLR,Illinois
RPJ,2018-01-01T00:55:00Z,0.1,-8.9,64.95,CLR,Illinois
RPJ,2018-01-01T01:15:00Z,0,-8.9,65.25,CLR,Illinois
RPJ,2018-01-01T01:35:00Z,-3.3,-10.5,70.5,CLR,Illinois
RPJ,2018-01-01T01:55:00Z,-1.3,-9.4,67.69,CLR,Illinois
RPJ,2018-01-01T02:15:00Z,-1.7,-10.3,65.99,CLR,Illinois
RPJ,2018-01-01T02:35:00Z,-2.4,-10.5,67.54,CLR,Illinois
RPJ,2018-01-01T02:55:00Z,-2.4,-11.2,65.24,CLR,Illinois
RPJ,2018-01-01T03:15:00Z,-3.1,-11.9,65.14,CLR,Illinois
RPJ,2018-01-01T03:35:00Z,-3.8,-12.5,65.37,CLR,Illinois
RPJ,2018-01-01T03:55:00Z,-4,-13.2,63.73,CLR,Illinois
RPJ,2018-01-01T04:15:00Z,-4.9,-13.4,65.87,CLR,Illinois
RPJ,2018-01-01T04:35:00Z,-5.1,-13.9,64.86,CLR,Illinois
RPJ,2018-01-01T04:55:00Z,-5.4,-14.3,64.49,CLR,Illinois
RPJ,2018-01-01T05:15:00Z,-5.8,-14.8,64.11,CLR,Illinois
RPJ,2018-01-01T05:35:00Z,-8.1,-15.5,69.19,CLR,Illinois
RPJ,2018-01-01T05:55:00Z,-8,-15.5,68.85,CLR,Illinois
RPJ,2018-01-01T06:15:00Z,-8.7,-15.9,69.82,CLR,Illinois
RPJ,2018-01-01T06:35:00Z,-7.8,-15.7,67.5,CLR,Illinois
RPJ,2018-01-01T06:55:00Z,-8,-15.9,67.47,CLR,Illinois
RPJ,2018-01-01T07:15:00Z,-8.7,-16.6,67.38,CLR,Illinois
RPJ,2018-01-01T07:35:00Z,-8.7,-16.8,66.69,CLR,Illinois
RPJ,2018-01-01T07:55:00Z,-8.9,-17.3,65.65,CLR,Illinois
RPJ,2018-01-01T08:15:00Z,-9.4,-17.5,66.6,CLR,Illinois
RPJ,2018-01-01T08:35:00Z,-9.6,-17.9,65.89,CLR,Illinois
RPJ,2018-01-01T08:55:00Z,-9.9,-18.4,65.17,CLR,Illinois
RPJ,2018-01-01T09:15:00Z,-9.9,-18,66.53,CLR,Illinois
RPJ,2018-01-01T09:35:00Z,-10.3,-17.9,68.2,CLR,Illinois
RPJ,2018-01-01T09:55:00Z,-12.5,-19.3,70.78,CLR,Illinois
RPJ,2018-01-01T10:15:00Z,-12.8,-19.5,71.11,CLR,Illinois
RPJ,2018-01-01T10:35:00Z,-12.8,-19.5,71.11,CLR,Illinois
RPJ,2018-01-01T10:55:00Z,-13,-19.7,71.09,CLR,Illinois
RPJ,2018-01-01T11:15:00Z,-13.5,-20.2,71.02,CLR,Illinois
RPJ,2018-01-01T11:35:00Z,-14.1,-20.4,72.44,CLR,Illinois
RPJ,2018-01-01T11:55:00Z,-15.9,-22,72.99,CLR,Illinois
RPJ,2018-01-01T12:15:00Z,-17,-22.9,73.63,CLR,Illinois
RPJ,2018-01-01T12:35:00Z,-16.6,-22.4,74.06,SCT,Illinois
RPJ,2018-01-01T12:55:00Z,-17,-22.9,73.63,SCT,Illinois
RPJ,2018-01-01T13:15:00Z,-16.6,-22.4,74.06,SCT,Illinois
RPJ,2018-01-01T13:35:00Z,-16.1,-22,73.73,SCT,Illinois
RPJ,2018-01-01T13:55:00Z,-15.9,-22,72.99,SCT,Illinois
RPJ,2018-01-01T14:15:00Z,-14.6,-21.1,71.63,CLR,Illinois
RPJ,2018-01-01T14:35:00Z,-13.9,-20.4,71.72,SCT,Illinois
RPJ,2018-01-01T14:55:00Z,-13,-19.7,71.09,SCT,Illinois
RPJ,2018-01-01T15:15:00Z,-11.4,-18.9,68.41,SCT,Illinois
RPJ,2018-01-01T15:35:00Z,-10.8,-18.8,66.75,BKN,Illinois
RPJ,2018-01-01T15:55:00Z,-9.9,-17.9,66.87,SCT,Illinois
RPJ,2018-01-01T16:15:00Z,-9,-17.5,65.3,SCT,Illinois
RPJ,2018-01-01T16:35:00Z,-8.1,-16.1,67.12,CLR,Illinois
