station,valid,tmpf,dwpf,relh,skyc1,state
SAR,2018-01-01T00:15:00Z,10.2,1.4,66.94,OVC,Illinois
SAR,2018-01-01T00:35:00Z,9.5,1.8,70.37,BKN,Illinois
SAR,2018-01-01T00:55:00Z,9.5,1.8,70.37,SCT,Illinois
SAR,2018-01-01T01:15:00Z,9.1,1.4,70.32,CLR,Illinois
SAR,2018-01-01T01:35:00Z,8.6,1.4,71.92,CLR,Illinois
SAR,2018-01-01T01:55:00Z,8.6,1.2,71.25,BKN,Illinois
SAR,2018-01-01T02:15:00Z,8.6,1,70.59,OVC,Illinois
SAR,2018-01-01T02:35:00Z,7.9,0.3,70.5,OVC,Illinois
SAR,2018-01-01T02:55:00Z,7.5,0.3,71.79,SCT,Illinois
SAR,2018-01-01T03:15:00Z,6.8,0.1,73.41,CLR,Illinois
SAR,2018-01-01T03:35:00Z,6.4,-0.8,71.66,CLR,Illinois
SAR,2018-01-01T03:55:00Z,5.9,-0.9,72.97,CLR,Illinois
SAR,2018-01-01T04:15:00Z,5.5,-0.9,74.31,CLR,Illinois
SAR,2018-01-01T04:35:00Z,5.4,-1.1,73.95,CLR,Illinois
SAR,2018-01-01T04:55:00Z,4.8,-1.7,73.89,CLR,Illinois
SAR,2018-01-01T05:15:00Z,4.6,-1.5,75.27,CLR,Illinois
SAR,2018-01-01T05:35:00Z,4.1,-1.3,77.75,CLR,Illinois
SAR,2018-01-01T05:55:00Z,4.1,-1.3,77.75,CLR,Illinois
SAR,2018-01-01T06:15:00Z,3.7,-1.7,77.72,CLR,Illinois
SAR,2018-01-01T06:35:00Z,3.6,-2.2,76.25,CLR,Illinois
SAR,2018-01-01T06:55:00Z,3.2,-2.2,77.67,CLR,Illinois
SAR,2018-01-01T07:15:00Z,2.8,-2.4,78.37,CLR,Illinois
SAR,2018-01-01T07:35:00Z,2.7,-2.6,77.99,CLR,Illinois
SAR,2018-01-01T07:55:00Z,2.3,-3.1,77.58,CLR,Illinois
SAR,2018-01-01T08:15:00Z,2.1,-3.6,76.46,CLR,Illinois
SAR,2018-01-01T08:35:00Z,1.9,-4,75.71,CLR,Illinois
SAR,2018-01-01T08:55:00Z,1.4,-4.2,76.75,CLR,Illinois
SAR,2018-01-01T09:15:00Z,1.2,-4.4,76.73,CLR,Illinois
SAR,2018-01-01T09:35:00Z,1,-4.7,76.35,CLR,Illinois
SAR,2018-01-01T09:55:00Z,0.5,-5.1,76.66,CLR,Illinois
SAR,2018-01-01T10:15:00Z,0.3,-6.3,73.03,CLR,Illinois
SAR,2018-01-01T10:35:00Z,-0.2,-6.3,74.76,CLR,Illinois
SAR,2018-01-01T10:55:00Z,-0.6,-6.7,74.72,CLR,Illinois
SAR,2018-01-01T11:15:00Z,-0.8,-6.3,76.9,CLR,Illinois
SAR,2018-01-01T11:35:00Z,-0.9,-7.6,72.54,CLR,Illinois
SAR,2018-01-01T11:55:00Z,-1.5,-8.3,72.12,CLR,Illinois
SAR,2018-01-01T12:15:00Z,-2,-8.7,72.41,CLR,Illinois
SAR,2018-01-01T12:35:00Z,-2.4,-9,72.72,CLR,Illinois
SAR,2018-01-01T12:55:00Z,-2.9,-9.2,73.74,CLR,Illinois
SAR,2018-01-01T13:15:00Z,-3.1,-9.4,73.72,CLR,Illinois
SAR,2018-01-01T13:35:00Z,-3.1,-9.4,73.72,CLR,Illinois
SAR,2018-01-01T13:55:00Z,-2.7,-9.4,72.33,CLR,Illinois
SAR,2018-01-01T14:15:00Z,-2.2,-8.7,73.1,CLR,Illinois
SAR,2018-01-01T14:35:00Z,-1.3,-8.3,71.44,CLR,Illinois
SAR,2018-01-01T14:55:00Z,-0.8,-8.5,69.09,CLR,Illinois
SAR,2018-01-01T15:15:00Z,0,-8.9,65.25,CLR,Illinois
SAR,2018-01-01T15:35:00Z,0.7,-8.9,63.15,CLR,Illinois
SAR,2018-01-01T15:55:00Z,2.1,-8.1,61.52,CLR,Illinois
SAR,2018-01-01T16:15:00Z,2.7,-8.7,58.1,CLR,Illinois
SAR,2018-01-01T16:35:00Z,3.7,-8.5,56.03,CLR,Illinois
SAR,2018-01-01T16:55:00Z,3.9,-9.2,53.64,CLR,Illinois
SAR,2018-01-01T17:15:00Z,4.5,-9.2,52.18,CLR,Illinois
SAR,2018-01-01T17:35:00Z,5.4,-9,50.57,CLR,Illinois
SAR,2018-01-01T17:55:00Z,6.4,-9,48.32,CLR,Illinois
SAR,2018-01-01T18:15:00Z,7,-8.7,47.71,CLR,Illinois
SAR,2018-01-01T18:35:00Z,8.1,-8.1,46.75,CLR,Illinois
SAR,2018-01-01T18:55:00Z,9.1,-7.8,45.35,CLR,Illinois
SAR,2018-01-01T19:15:00Z,9.5,-7.8,44.55,CLR,Illinois
SAR,2018-01-01T19:35:00Z,9.9,-7.8,43.76,CLR,Illinois
SAR,2018-01-01T19:55:00Z,9.9,-8.5,42.29,CLR,Illinois
SAR,2018-01-01T20:15:00Z,9.9,-8.7,41.87,CLR,Illinois
SAR,2018-01-01T20:35:00Z,10,-8.5,42.1,CLR,Illinois
SAR,2018-01-01T20:55:00Z,10.6,-7.6,42.83,CLR,Illinois
SAR,2018-01-01T21:15:00Z,10.2,-8.1,42.55,CLR,Illinois
SAR,2018-01-01T21:35:00Z,10,-8,43.14,CLR,Illinois
SAR,2018-01-01T21:55:00Z,9.5,-8,44.11,CLR,Illinois
SAR,2018-01-01T22:15:00Z,9.5,-7.6,44.98,CLR,Illinois
SAR,2018-01-01T22:35:00Z,8.6,-7.1,47.99,CLR,Illinois
SAR,2018-01-01T22:55:00Z,7.9,-7.2,49.29,CLR,Illinois
SAR,2018-01-01T23:15:00Z,7.2,-6.7,52.13,CLR,Illinois
SAR,2018-01-01T23:35:00Z,6.8,-6.5,53.6,CLR,Illinois
SAR,2018-01-01T23:55:00Z,6.6,-6.2,54.88,CLR,Illinois
SAR,2018-01-02T00:15:00Z,6.4,-5.8,56.46,CLR,Illinois
SAR,2018-01-02T00:35:00Z,5.9,-5.8,57.76,CLR,Illinois
SAR,2018-01-02T00:55:00Z,5.9,-5.8,57.76,CLR,Illinois
SAR,2018-01-02T01:15:00Z,5.7,-5.3,59.71,CLR,Illinois
SAR,2018-01-02T01:35:00Z,5.7,-5.3,59.71,CLR,Illinois
SAR,2018-01-02T01:55:00Z,5.5,-5.8,58.82,CLR,Illinois
SAR,2018-01-02T02:15:00Z,5.4,-5.8,59.09,CLR,Illinois
SAR,2018-01-02T02:35:00Z,5.4,-5.1,61.12,CLR,Illinois
SAR,2018-01-02T03:00:00Z,4.8,-4.9,63.43,CLR,Illinois
SAR,2018-01-02T03:15:00Z,4.8,-5.1,62.82,CLR,Illinois
SAR,2018-01-02T03:35:00Z,4.3,-5.1,64.28,CLR,Illinois
SAR,2018-01-02T03:55:00Z,4.1,-4.9,65.5,CLR,Illinois
SAR,2018-01-02T04:15:00Z,4.1,-4.9,65.5,CLR,Illinois
SAR,2018-01-02T04:35:00Z,4.1,-5.1,64.87,CLR,Illinois
SAR,2018-01-02T04:55:00Z,3.4,-4.7,68.3,CLR,Illinois
SAR,2018-01-02T05:15:00Z,3,-5.8,65.98,CLR,Illinois
SAR,2018-01-02T05:35:00Z,2.8,-5.6,67.24,CLR,Illinois
SAR,2018-01-02T05:55:00Z,2.8,-5.8,66.6,CLR,Illinois
SAR,2018-01-02T06:15:00Z,2.7,-5.8,66.91,CLR,Illinois
SAR,2018-01-02T06:35:00Z,2.5,-6,66.88,CLR,Illinois
SAR,2018-01-02T06:55:00Z,2.1,-6,68.13,CLR,Illinois
SAR,2018-01-02T07:15:00Z,1.8,-6,69.09,CLR,Illinois
SAR,2018-01-02T07:35:00Z,1.4,-5.8,71.07,CLR,Illinois
SAR,2018-01-02T07:55:00Z,1.4,-5.8,71.07,CLR,Illinois
SAR,2018-01-02T08:15:00Z,1.4,-6.7,68.04,CLR,Illinois
SAR,2018-01-02T08:35:00Z,0.9,-6.7,69.65,CLR,Illinois
SAR,2018-01-02T08:55:00Z,0.9,-6.7,69.65,CLR,Illinois
SAR,2018-01-02T09:15:00Z,0.3,-6.7,71.63,CLR,Illinois
SAR,2018-01-02T09:35:00Z,0.5,-6.7,70.96,CLR,Illinois
SAR,2018-01-02T09:55:00Z,0.1,-6,74.8,CLR,Illinois
SAR,2018-01-02T10:15:00Z,-0.4,-6.5,74.74,CLR,Illinois
SAR,2018-01-02T10:35:00Z,0,-6.3,74.07,CLR,Illinois
SAR,2018-01-02T10:55:00Z,-0.4,-6.7,74.02,CLR,Illinois
SAR,2018-01-02T11:15:00Z,-0.6,-6.7,74.72,CLR,Illinois
SAR,2018-01-02T11:35:00Z,-0.4,-6,76.57,CLR,Illinois
SAR,2018-01-02T11:55:00Z,-0.6,-6.3,76.18,CLR,Illinois
SAR,2018-01-02T12:15:00Z,-0.6,-6.9,74,CLR,Illinois
