station,valid,tmpf,dwpf,relh,skyc1,state
SFY,2018-01-01T00:15:00Z,-1.3,-10.5,64.11,CLR,Illinois
SFY,2018-01-01T00:35:00Z,-1.5,-11.2,62.52,CLR,Illinois
SFY,2018-01-01T00:55:00Z,-2.4,-11.7,63.64,CLR,Illinois
SFY,2018-01-01T01:15:00Z,-2.2,-12.5,60.58,CLR,Illinois
SFY,2018-01-01T01:35:00Z,-2.9,-13.2,60.47,CLR,Illinois
SFY,2018-01-01T01:55:00Z,-3.3,-13.4,61.02,CLR,Illinois
SFY,2018-01-01T02:15:00Z,-4,-13.9,61.53,CLR,Illinois
SFY,2018-01-01T02:35:00Z,-4.5,-14.8,60.22,CLR,Illinois
SFY,2018-01-01T02:55:00Z,-5.1,-15,61.36,CLR,Illinois
SFY,2018-01-01T03:15:00Z,-6.2,-15.7,62.45,CLR,Illinois
SFY,2018-01-01T03:35:00Z,-6.2,-15.7,62.45,CLR,Illinois
SFY,2018-01-01T03:55:00Z,-6.9,-15.9,63.95,CLR,Illinois
SFY,2018-01-01T04:15:00Z,-7.6,-15.9,66.17,CLR,Illinois
SFY,2018-01-01T04:35:00Z,-8,-16.4,65.78,CLR,Illinois
SFY,2018-01-01T04:55:00Z,-8.5,-16.8,66.04,CLR,Illinois
SFY,2018-01-01T05:15:00Z,-9,-17.3,65.97,CLR,Illinois
SFY,2018-01-01T05:35:00Z,-9.2,-17.1,67.31,CLR,Illinois
SFY,2018-01-01T05:55:00Z,-9.6,-17.5,67.25,CLR,Illinois
SFY,2018-01-01T06:15:00Z,-9.9,-18,66.53,CLR,Illinois
SFY,2018-01-01T06:35:00Z,-10.5,-18.4,67.13,CLR,Illinois
SFY,2018-01-01T06:55:00Z,-10.7,-18.4,67.8,CLR,Illinois
SFY,2018-01-01T07:15:00Z,-11,-18.8,67.41,CLR,Illinois
SFY,2018-01-01T07:35:00Z,-11.7,-19.3,68.02,CLR,Illinois
SFY,2018-01-01T07:55:00Z,-12.5,-19.5,70.05,CLR,Illinois
SFY,2018-01-01T08:15:00Z,-12.3,-19.8,68.29,CLR,Illinois
SFY,2018-01-01T08:35:00Z,-12.5,-20,68.26,CLR,Illinois
SFY,2018-01-01T08:55:00Z,-12.6,-20.2,67.89,CLR,Illinois
SFY,2018-01-01T09:15:00Z,-13.2,-20.6,68.52,CLR,Illinois
SFY,2018-01-01T09:35:00Z,-13.2,-20.7,68.17,CLR,Illinois
SFY,2018-01-01T09:55:00Z,-13.9,-21.1,69.15,CLR,Illinois
SFY,2018-01-01T10:15:00Z,-13.9,-21.5,67.72,CLR,Illinois
SFY,2018-01-01T10:35:00Z,-13.9,-21.1,69.15,CLR,Illinois
SFY,2018-01-01T10:50:00Z,-13.9,-21.1,69.15,CLR,Illinois
SFY,2018-01-01T11:15:00Z,-14.4,-22,67.65,CLR,Illinois
SFY,2018-01-01T11:35:00Z,-14.8,-22,69.03,CLR,Illinois
SFY,2018-01-01T11:55:00Z,-14.6,-21.8,69.06,CLR,Illinois
SFY,2018-01-01T12:15:00Z,-14.8,-21.8,69.76,CLR,Illinois
SFY,2018-01-01T12:35:00Z,-15.2,-22,70.44,CLR,Illinois
SFY,2018-01-01T12:55:00Z,-15.2,-22.2,69.71,CLR,Illinois
SFY,2018-01-01T13:15:00Z,-15.3,-22.5,68.96,CLR,Illinois
SFY,2018-01-01T13:35:00Z,-15.9,-22.5,71.1,CLR,Illinois
SFY,2018-01-01T13:55:00Z,-15.2,-22,70.44,CLR,Illinois
SFY,2018-01-01T14:15:00Z,-14.4,-21.5,69.45,CLR,Illinois
SFY,2018-01-01T14:35:00Z,-14.1,-21.5,68.4,CLR,Illinois
SFY,2018-01-01T14:55:00Z,-13.5,-21.1,67.77,CLR,Illinois
SFY,2018-01-01T15:15:00Z,-13,-20.7,67.49,CLR,Illinois
SFY,2018-01-01T15:35:00Z,-12.3,-20.4,66.19,CLR,Illinois
SFY,2018-01-01T15:55:00Z,-11.4,-20,64.62,CLR,Illinois
SFY,2018-01-01T16:15:00Z,-10.3,-19.3,63.46,CLR,Illinois
SFY,2018-01-01T16:35:00Z,-9,-18.4,62.35,CLR,Illinois
SFY,2018-01-01T16:55:00Z,-8,-17.7,61.55,CLR,Illinois
SFY,2018-01-01T17:15:00Z,-7.2,-17.3,60.42,CLR,Illinois
SFY,2018-01-01T17:35:00Z,-6.7,-16.6,61.12,CLR,Illinois
SFY,2018-01-01T17:55:00Z,-6,-15.9,61.22,CLR,Illinois
SFY,2018-01-01T18:15:00Z,-5.4,-15.9,59.48,CLR,Illinois
SFY,2018-01-01T18:35:00Z,-4.5,-14.8,60.22,CLR,Illinois
SFY,2018-01-01T18:55:00Z,-4,-14.8,58.8,CLR,Illinois
SFY,2018-01-01T19:15:00Z,-3.5,-13.9,60.07,CLR,Illinois
SFY,2018-01-01T19:35:00Z,-3.1,-13.9,58.94,CLR,Illinois
SFY,2018-01-01T19:55:00Z,-2.9,-13.4,59.87,CLR,Illinois
SFY,2018-01-01T20:15:00Z,-2.4,-13,59.64,CLR,Illinois
SFY,2018-01-01T20:35:00Z,-2,-12.6,59.7,CLR,Illinois
SFY,2018-01-01T20:55:00Z,-2.2,-13,59.08,CLR,Illinois
SFY,2018-01-01T21:15:00Z,-1.7,-12.3,59.75,CLR,Illinois
SFY,2018-01-01T21:35:00Z,-2.2,-12.5,60.58,CLR,Illinois
SFY,2018-01-01T21:55:00Z,-2.7,-12.6,61.72,CLR,Illinois
SFY,2018-01-01T22:15:00Z,-3.5,-13,62.85,CLR,Illinois
SFY,2018-01-01T22:35:00Z,-4,-13.2,63.73,CLR,Illinois
SFY,2018-01-01T22:55:00Z,-4.5,-13.2,65.27,CLR,Illinois
SFY,2018-01-01T23:15:00Z,-4.9,-13.2,66.54,CLR,Illinois
SFY,2018-01-01T23:35:00Z,-5.4,-13.5,67.14,CLR,Illinois
SFY,2018-01-01T23:55:00Z,-5.8,-13.9,67.09,CLR,Illinois
SFY,2018-01-02T00:15:00Z,-6,-14.1,67.06,CLR,Illinois
SFY,2018-01-02T00:35:00Z,-6.2,-14.3,67.03,CLR,Illinois
SFY,2018-01-02T00:55:00Z,-6.7,-14.4,68.33,CLR,Illinois
SFY,2018-01-02T01:15:00Z,-6.9,-14.4,69,CLR,Illinois
SFY,2018-01-02T01:35:00Z,-6.9,-14.3,69.35,CLR,Illinois
SFY,2018-01-02T01:55:00Z,-7.1,-14.6,68.97,CLR,Illinois
SFY,2018-01-02T02:15:00Z,-7.2,-14.8,68.61,CLR,Illinois
SFY,2018-01-02T02:35:00Z,-7.6,-14.8,69.96,CLR,Illinois
SFY,2018-01-02T02:55:00Z,-7.6,-14.8,69.96,CLR,Illinois
SFY,2018-01-02T03:15:00Z,-8,-14.8,71.34,CLR,Illinois
SFY,2018-01-02T03:35:00Z,-8.9,-15.5,71.95,CLR,Illinois
SFY,2018-01-02T03:55:00Z,-9.2,-15.5,73.02,CLR,Illinois
SFY,2018-01-02T04:15:00Z,-8.9,-15.2,73.06,CLR,Illinois
SFY,2018-01-02T04:35:00Z,-9.2,-15.2,74.14,CLR,Illinois
SFY,2018-01-02T04:55:00Z,-9.4,-15.7,73,CLR,Illinois
SFY,2018-01-02T05:15:00Z,-10.8,-17,73.21,CLR,Illinois
SFY,2018-01-02T05:35:00Z,-10.1,-15.7,75.56,CLR,Illinois
SFY,2018-01-02T05:55:00Z,-9.4,-15.5,73.74,CLR,Illinois
SFY,2018-01-02T06:15:00Z,-9.6,-15.5,74.47,CLR,Illinois
SFY,2018-01-02T06:35:00Z,-9.6,-15.7,73.72,CLR,Illinois
SFY,2018-01-02T06:55:00Z,-10.3,-16.2,74.39,CLR,Illinois
SFY,2018-01-02T07:15:00Z,-10.7,-16.6,74.35,CLR,Illinois
SFY,2018-01-02T07:35:00Z,-10.7,-16.4,75.11,CLR,Illinois
SFY,2018-01-02T07:55:00Z,-10.8,-16.6,74.72,CLR,Illinois
SFY,2018-01-02T08:15:00Z,-13.2,-18.4,76.79,CLR,Illinois
SFY,2018-01-02T08:35:00Z,-14.8,-19.7,77.82,CLR,Illinois
SFY,2018-01-02T08:55:00Z,-11.4,-16.6,76.97,CLR,Illinois
SFY,2018-01-02T09:15:00Z,-13,-18.4,76.02,CLR,Illinois
SFY,2018-01-02T09:35:00Z,-12.1,-17.5,76.12,CLR,Illinois
SFY,2018-01-02T09:55:00Z,-13.2,-18.6,76,CLR,Illinois
SFY,2018-01-02T10:15:00Z,-13.9,-19.5,75.15,CLR,Illinois
SFY,2018-01-02T10:35:00Z,-16.8,-21.6,78.03,CLR,Illinois
SFY,2018-01-02T10:55:00Z,-17,-22,77.2,CLR,Illinois
SFY,2018-01-02T11:15:00Z,-14.1,-19.7,75.12,CLR,Illinois
SFY,2018-01-02T11:35:00Z,-17.1,-22,77.59,CLR,Illinois
SFY,2018-01-02T11:55:00Z,-20,-25.2,76.07,CLR,Illinois
SFY,2018-01-02T12:15:00Z,-18,-22.9,77.5,CLR,Illinois
SFY,2018-01-02T12:35:00Z,-19.7,-25.4,74.1,CLR,Illinois
SFY,2018-01-02T12:55:00Z,-19.1,-24.3,76.16,CLR,Illinois
SFY,2018-01-02T13:15:00Z,-18,-22.9,77.5,CLR,Illinois
SFY,2018-01-02T13:35:00Z,-17.5,-22.4,77.55,CLR,Illinois
SFY,2018-01-02T13:55:00Z,-15.2,-20.4,76.58,CLR,Illinois
SFY,2018-01-02T14:15:00Z,-13.9,-19.3,75.93,CLR,Illinois
SFY,2018-01-02T14:35:00Z,-13.4,-18.8,75.98,CLR,Illinois
SFY,2018-01-02T14:55:00Z,-13,-18.8,74.47,CLR,Illinois
SFY,2018-01-02T15:15:00Z,-10.7,-16.8,73.59,CLR,Illinois
SFY,2018-01-02T15:35:00Z,-9.8,-16.4,71.85,CLR,Illinois
SFY,2018-01-02T15:55:00Z,-9.4,-16.1,71.53,CLR,Illinois
SFY,2018-01-02T16:15:00Z,-8.1,-15.3,69.9,CLR,Illinois
SFY,2018-01-02T16:35:00Z,-6.7,-15,66.29,CLR,Illinois
SFY,2018-01-02T16:55:00Z,-5.3,-14.6,63.22,CLR,Illinois
SFY,2018-01-02T17:15:00Z,-4.7,-14.4,62.04,CLR,Illinois
SFY,2018-01-02T17:35:00Z,-4.2,-13.7,62.75,CLR,Illinois
SFY,2018-01-02T17:55:00Z,-1.8,-13.5,56.54,CLR,Illinois
SFY,2018-01-02T18:15:00Z,-1.5,-13.4,56.02,CLR,Illinois
SFY,2018-01-02T18:35:00Z,-0.6,-12.8,55.33,CLR,Illinois
SFY,2018-01-02T18:55:00Z,0.5,-13,52.02,CLR,Illinois
SFY,2018-01-02T19:15:00Z,1.2,-12.6,51.37,CLR,Illinois
SFY,2018-01-02T19:35:00Z,2.1,-12.6,49.26,CLR,Illinois
SFY,2018-01-02T19:55:00Z,2.7,-12.3,48.63,CLR,Illinois
SFY,2018-01-02T20:15:00Z,3.2,-12.1,48,CLR,Illinois
SFY,2018-01-02T20:35:00Z,3.4,-12.1,47.55,CLR,Illinois
SFY,2018-01-02T20:55:00Z,3.2,-12.3,47.52,CLR,Illinois
SFY,2018-01-02T21:15:00Z,3.2,-11,50.69,CLR,Illinois
SFY,2018-01-02T21:35:00Z,3.2,-10.7,51.45,CLR,Illinois
SFY,2018-01-02T21:55:00Z,3,-10.1,53.49,CLR,Illinois
SFY,2018-01-02T22:15:00Z,3,-10.3,52.97,CLR,Illinois
