station,valid,tmpf,dwpf,relh,skyc1,state
TAZ,2018-01-01T00:15:00Z,3.2,-4.5,69.6,CLR,Illinois
TAZ,2018-01-01T00:35:00Z,2.3,-4.4,72.91,CLR,Illinois
TAZ,2018-01-01T00:55:00Z,2.3,-4.2,73.61,CLR,Illinois
TAZ,2018-01-01T01:15:00Z,2.3,-4.5,72.56,CLR,Illinois
TAZ,2018-01-01T01:35:00Z,1.9,-4.9,72.51,CLR,Illinois
TAZ,2018-01-01T01:55:00Z,1.8,-5.1,72.15,CLR,Illinois
TAZ,2018-01-01T02:15:00Z,1.2,-5.4,73.13,CLR,Illinois
TAZ,2018-01-01T02:35:00Z,0.9,-5.8,72.75,CLR,Illinois
TAZ,2018-01-01T02:55:00Z,0.5,-6.2,72.7,CLR,Illinois
TAZ,2018-01-01T03:15:00Z,0.3,-6.3,73.03,CLR,Illinois
TAZ,2018-01-01T03:35:00Z,0.1,-6.7,72.3,CLR,Illinois
TAZ,2018-01-01T03:55:00Z,-0.4,-7.4,71.55,CLR,Illinois
TAZ,2018-01-01T04:15:00Z,-0.8,-7.8,71.5,CLR,Illinois
TAZ,2018-01-01T04:35:00Z,-1.3,-8.5,70.74,CLR,Illinois
TAZ,2018-01-01T04:55:00Z,-1.8,-9,70.68,CLR,Illinois
TAZ,2018-01-01T05:15:00Z,-2.2,-9.6,69.94,CLR,Illinois
TAZ,2018-01-01T05:35:00Z,-2.4,-9.6,70.61,CLR,Illinois
TAZ,2018-01-01T05:55:00Z,-2.9,-10.5,69.17,CLR,Illinois
TAZ,2018-01-01T06:15:00Z,-3.5,-11.2,68.75,CLR,Illinois
TAZ,2018-01-01T06:35:00Z,-4,-11.7,68.68,CLR,Illinois
TAZ,2018-01-01T06:55:00Z,-4.5,-12.3,68.28,CLR,Illinois
TAZ,2018-01-01T07:15:00Z,-5.1,-12.6,69.23,CLR,Illinois
TAZ,2018-01-01T07:35:00Z,-5.1,-12.3,70.27,CLR,Illinois
TAZ,2018-01-01T07:55:00Z,-5.4,-13,68.85,CLR,Illinois
TAZ,2018-01-01T08:15:00Z,-5.8,-13.4,68.79,CLR,Illinois
TAZ,2018-01-01T08:35:00Z,-6.3,-14.1,68.04,CLR,Illinois
TAZ,2018-01-01T08:55:00Z,-7.1,-14.1,70.73,CLR,Illinois
TAZ,2018-01-01T09:15:00Z,-7.6,-14.1,72.47,CLR,Illinois
