station,valid,tmpf,dwpf,relh,skyc1,state
CEF,2018-01-01T00:56:00Z,2.7,-10.3,53.71,CLR,Massachusetts
CEF,2018-01-01T01:56:00Z,2.3,-10.3,54.71,CLR,Massachusetts
CEF,2018-01-01T02:56:00Z,-1.3,-11.6,60.71,CLR,Massachusetts
CEF,2018-01-01T03:56:00Z,-9.4,-14.8,76.4,CLR,Massachusetts
CEF,2018-01-01T04:56:00Z,-0.6,-12.3,56.73,CLR,Massachusetts
CEF,2018-01-01T05:56:00Z,-2.9,-13.5,59.57,CLR,Massachusetts
CEF,2018-01-01T06:56:00Z,-1.1,-13.9,53.61,CLR,Massachusetts
CEF,2018-01-01T07:56:00Z,-2,-14.4,54.55,CLR,Massachusetts
CEF,2018-01-01T08:56:00Z,-2.9,-14.8,55.79,CLR,Massachusetts
CEF,2018-01-01T09:56:00Z,-2.2,-15,53.42,CLR,Massachusetts
CEF,2018-01-01T10:56:00Z,-4,-15.2,57.62,CLR,Massachusetts
CEF,2018-01-01T11:56:00Z,-2.7,-15,54.71,CLR,Massachusetts
CEF,2018-01-01T12:56:00Z,-11,-17.1,73.56,CLR,Massachusetts
CEF,2018-01-01T13:56:00Z,-6.7,-15.5,64.63,CLR,Massachusetts
CEF,2018-01-01T14:56:00Z,2.7,-13.2,46.49,CLR,Massachusetts
CEF,2018-01-01T15:56:00Z,5.9,-12.3,41.98,CLR,Massachusetts
CEF,2018-01-01T16:56:00Z,8.8,-9.8,41.68,CLR,Massachusetts
CEF,2018-01-01T17:56:00Z,10.4,-10.3,37.85,CLR,Massachusetts
CEF,2018-01-01T18:56:00Z,10.6,-11.2,35.88,CLR,Massachusetts
CEF,2018-01-01T19:56:00Z,10.9,-10.8,36.11,CLR,Massachusetts
CEF,2018-01-01T20:56:00Z,10,-10.7,37.78,CLR,Massachusetts
CEF,2018-01-01T21:56:00Z,7.3,-11,42.03,CLR,Massachusetts
CEF,2018-01-01T22:56:00Z,3,-10.7,51.93,CLR,Massachusetts
CEF,2018-01-01T23:56:00Z,-3.6,-11.4,68.4,CLR,Massachusetts
CEF,2018-01-02T00:56:00Z,-7.8,-13,77.34,CLR,Massachusetts
CEF,2018-01-02T01:56:00Z,-8.9,-13.7,78.8,CLR,Massachusetts
