station,valid,tmpf,dwpf,relh,skyc1,state
74V,2018-01-01T00:15:00Z,33.8,23,64.23,NA,Utah
74V,2018-01-01T00:35:00Z,32,24.8,74.44,NA,Utah
74V,2018-01-01T00:55:00Z,32,23,69.04,NA,Utah
74V,2018-01-01T01:15:00Z,32,23,69.04,NA,Utah
74V,2018-01-01T01:35:00Z,30.2,23,74.26,NA,Utah
74V,2018-01-01T01:55:00Z,30.2,23,74.26,NA,Utah
74V,2018-01-01T02:15:00Z,30.2,23,74.26,NA,Utah
74V,2018-01-01T02:35:00Z,28.4,21.2,74.08,NA,Utah
74V,2018-01-01T02:55:00Z,28.4,21.2,74.08,NA,Utah
74V,2018-01-01T03:15:00Z,28.4,21.2,74.08,NA,Utah
74V,2018-01-01T03:35:00Z,26.6,21.2,79.77,NA,Utah
74V,2018-01-01T03:55:00Z,26.6,19.4,73.89,NA,Utah
74V,2018-01-01T04:15:00Z,24.8,19.4,79.62,NA,Utah
74V,2018-01-01T04:35:00Z,24.8,19.4,79.62,NA,Utah
74V,2018-01-01T04:55:00Z,23,19.4,85.85,NA,Utah
74V,2018-01-01T05:15:00Z,23,19.4,85.85,NA,Utah
74V,2018-01-01T05:35:00Z,23,19.4,85.85,NA,Utah
74V,2018-01-01T05:55:00Z,23,19.4,85.85,NA,Utah
74V,2018-01-01T06:15:00Z,23,17.6,79.47,NA,Utah
74V,2018-01-01T06:35:00Z,23,19.4,85.85,NA,Utah
74V,2018-01-01T06:55:00Z,23,19.4,85.85,NA,Utah
74V,2018-01-01T07:15:00Z,23,19.4,85.85,NA,Utah
74V,2018-01-01T07:35:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-01T07:55:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-01T08:15:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-01T08:35:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-01T08:55:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-01T09:15:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-01T09:35:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-01T09:55:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-01T10:15:00Z,19.4,15.8,85.63,NA,Utah
74V,2018-01-01T10:35:00Z,21.2,15.8,79.31,NA,Utah
74V,2018-01-01T10:55:00Z,19.4,15.8,85.63,NA,Utah
74V,2018-01-01T11:15:00Z,19.4,15.8,85.63,NA,Utah
74V,2018-01-01T11:35:00Z,19.4,15.8,85.63,NA,Utah
74V,2018-01-01T11:55:00Z,19.4,15.8,85.63,NA,Utah
74V,2018-01-01T12:15:00Z,19.4,15.8,85.63,NA,Utah
74V,2018-01-01T12:35:00Z,19.4,14,79.16,NA,Utah
74V,2018-01-01T12:55:00Z,19.4,14,79.16,NA,Utah
74V,2018-01-01T13:15:00Z,19.4,15.8,85.63,NA,Utah
74V,2018-01-01T13:35:00Z,17.6,14,85.51,NA,Utah
74V,2018-01-01T13:55:00Z,17.6,14,85.51,NA,Utah
74V,2018-01-01T14:15:00Z,19.4,14,79.16,NA,Utah
74V,2018-01-01T14:35:00Z,19.4,15.8,85.63,NA,Utah
74V,2018-01-01T14:55:00Z,19.4,15.8,85.63,NA,Utah
74V,2018-01-01T15:15:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-01T15:35:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-01T15:55:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-01T16:15:00Z,23,17.6,79.47,NA,Utah
74V,2018-01-01T16:35:00Z,26.6,19.4,73.89,NA,Utah
74V,2018-01-01T16:55:00Z,26.6,19.4,73.89,NA,Utah
74V,2018-01-01T17:15:00Z,26.6,19.4,73.89,NA,Utah
74V,2018-01-01T17:35:00Z,28.4,19.4,68.61,NA,Utah
74V,2018-01-01T17:55:00Z,28.4,19.4,68.61,NA,Utah
74V,2018-01-01T18:15:00Z,28.4,19.4,68.61,NA,Utah
74V,2018-01-01T18:35:00Z,28.4,19.4,68.61,NA,Utah
74V,2018-01-01T18:55:00Z,28.4,17.6,63.51,NA,Utah
74V,2018-01-01T19:15:00Z,28.4,17.6,63.51,NA,Utah
74V,2018-01-01T19:35:00Z,30.2,19.4,63.75,NA,Utah
74V,2018-01-01T19:55:00Z,32,17.6,54.87,NA,Utah
74V,2018-01-01T20:15:00Z,32,17.6,54.87,NA,Utah
74V,2018-01-01T20:35:00Z,32,17.6,54.87,NA,Utah
74V,2018-01-01T20:55:00Z,32,19.4,59.27,NA,Utah
74V,2018-01-01T21:15:00Z,32,19.4,59.27,NA,Utah
74V,2018-01-01T21:35:00Z,33.8,19.4,55.14,NA,Utah
74V,2018-01-01T21:55:00Z,35.6,17.6,47.51,NA,Utah
74V,2018-01-01T22:15:00Z,35.6,19.4,51.33,NA,Utah
74V,2018-01-01T22:35:00Z,35.6,19.4,51.33,NA,Utah
74V,2018-01-01T22:55:00Z,35.6,19.4,51.33,NA,Utah
74V,2018-01-01T23:15:00Z,35.6,19.4,51.33,NA,Utah
74V,2018-01-01T23:35:00Z,35.6,17.6,47.51,NA,Utah
74V,2018-01-01T23:55:00Z,33.8,19.4,55.14,NA,Utah
74V,2018-01-02T00:15:00Z,32,21.2,63.99,NA,Utah
74V,2018-01-02T00:35:00Z,30.2,21.2,68.83,NA,Utah
74V,2018-01-02T00:55:00Z,30.2,21.2,68.83,NA,Utah
74V,2018-01-02T01:15:00Z,28.4,21.2,74.08,NA,Utah
74V,2018-01-02T01:35:00Z,26.6,21.2,79.77,NA,Utah
74V,2018-01-02T01:55:00Z,26.6,21.2,79.77,NA,Utah
74V,2018-01-02T02:15:00Z,28.4,21.2,74.08,NA,Utah
74V,2018-01-02T02:35:00Z,26.6,21.2,79.77,NA,Utah
74V,2018-01-02T02:55:00Z,26.6,21.2,79.77,NA,Utah
74V,2018-01-02T03:15:00Z,23,17.6,79.47,NA,Utah
74V,2018-01-02T03:35:00Z,23,17.6,79.47,NA,Utah
74V,2018-01-02T03:55:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-02T04:15:00Z,23,17.6,79.47,NA,Utah
74V,2018-01-02T04:35:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-02T04:55:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-02T05:15:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-02T05:35:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-02T05:55:00Z,21.2,17.6,85.74,NA,Utah
74V,2018-01-02T06:15:00Z,19.4,15.8,85.63,NA,Utah
74V,2018-01-02T06:35:00Z,19.4,15.8,85.63,NA,Utah
74V,2018-01-02T06:55:00Z,19.4,15.8,85.63,NA,Utah
74V,2018-01-02T07:15:00Z,19.4,15.8,85.63,NA,Utah
74V,2018-01-02T07:35:00Z,19.4,14,79.16,NA,Utah
74V,2018-01-02T07:55:00Z,17.6,14,85.51,NA,Utah
74V,2018-01-02T08:15:00Z,17.6,14,85.51,NA,Utah
74V,2018-01-02T08:35:00Z,19.4,14,79.16,NA,Utah
74V,2018-01-02T08:55:00Z,19.4,14,79.16,NA,Utah
74V,2018-01-02T09:15:00Z,19.4,14,79.16,NA,Utah
74V,2018-01-02T09:35:00Z,19.4,14,79.16,NA,Utah
74V,2018-01-02T09:55:00Z,19.4,14,79.16,NA,Utah
74V,2018-01-02T10:15:00Z,17.6,14,85.51,NA,Utah
74V,2018-01-02T10:35:00Z,17.6,12.2,79,NA,Utah
74V,2018-01-02T10:55:00Z,15.8,12.2,85.4,NA,Utah
74V,2018-01-02T11:15:00Z,15.8,12.2,85.4,NA,Utah
74V,2018-01-02T11:35:00Z,15.8,12.2,85.4,NA,Utah
74V,2018-01-02T11:55:00Z,15.8,12.2,85.4,NA,Utah
74V,2018-01-02T12:15:00Z,15.8,12.2,85.4,NA,Utah
74V,2018-01-02T12:35:00Z,15.8,12.2,85.4,NA,Utah
74V,2018-01-02T12:55:00Z,15.8,12.2,85.4,NA,Utah
74V,2018-01-02T13:15:00Z,14,10.4,85.28,NA,Utah
74V,2018-01-02T13:35:00Z,14,10.4,85.28,NA,Utah
74V,2018-01-02T13:55:00Z,14,10.4,85.28,NA,Utah
74V,2018-01-02T14:15:00Z,14,10.4,85.28,NA,Utah
74V,2018-01-02T14:35:00Z,14,10.4,85.28,NA,Utah
74V,2018-01-02T14:55:00Z,14,10.4,85.28,NA,Utah
74V,2018-01-02T15:15:00Z,15.8,12.2,85.4,NA,Utah
74V,2018-01-02T15:35:00Z,17.6,12.2,79,NA,Utah
74V,2018-01-02T15:55:00Z,19.4,14,79.16,NA,Utah
74V,2018-01-02T16:15:00Z,23,17.6,79.47,NA,Utah
74V,2018-01-02T16:35:00Z,26.6,17.6,68.4,NA,Utah
74V,2018-01-02T16:55:00Z,26.6,17.6,68.4,NA,Utah
