station,valid,tmpf,dwpf,relh,skyc1,state
BDG,2018-01-01T00:15:00Z,44.6,7.5,21.44,NA,Utah
BDG,2018-01-01T00:35:00Z,41.7,9.1,25.75,NA,Utah
BDG,2018-01-01T00:55:00Z,41.2,8.6,25.67,NA,Utah
BDG,2018-01-01T01:15:00Z,39,9.7,29.38,NA,Utah
BDG,2018-01-01T01:35:00Z,37.4,10.6,32.56,NA,Utah
BDG,2018-01-01T01:55:00Z,38.8,9.3,29.08,NA,Utah
BDG,2018-01-01T02:15:00Z,35.1,10.4,35.34,NA,Utah
BDG,2018-01-01T02:35:00Z,35.2,9.9,34.43,NA,Utah
BDG,2018-01-01T02:55:00Z,33.1,10.4,38.28,NA,Utah
BDG,2018-01-01T03:15:00Z,34.2,10.2,36.31,NA,Utah
BDG,2018-01-01T03:35:00Z,34.9,10,35,NA,Utah
BDG,2018-01-01T03:55:00Z,35.8,9.1,32.43,NA,Utah
BDG,2018-01-01T04:15:00Z,34.9,11.8,37.91,NA,Utah
BDG,2018-01-01T04:35:00Z,36.7,13.1,37.39,NA,Utah
BDG,2018-01-01T04:55:00Z,36.7,13.5,38.05,NA,Utah
BDG,2018-01-01T05:15:00Z,37.8,13.8,36.92,NA,Utah
BDG,2018-01-01T05:35:00Z,36.7,13.3,37.72,NA,Utah
BDG,2018-01-01T05:55:00Z,36,11.3,35.5,NA,Utah
BDG,2018-01-01T06:15:00Z,36.7,11.7,35.15,NA,Utah
BDG,2018-01-01T06:35:00Z,37,10.4,32.78,NA,Utah
BDG,2018-01-01T06:55:00Z,34.5,11.1,37.34,NA,Utah
BDG,2018-01-01T07:15:00Z,36.9,12,35.34,NA,Utah
BDG,2018-01-01T07:35:00Z,35.4,12.4,38.17,NA,Utah
BDG,2018-01-01T07:55:00Z,34.7,13.6,41.38,NA,Utah
BDG,2018-01-01T08:15:00Z,39.2,13.1,33.9,NA,Utah
BDG,2018-01-01T08:35:00Z,32.9,13.1,43.5,NA,Utah
BDG,2018-01-01T08:55:00Z,35.4,10.2,34.62,NA,Utah
BDG,2018-01-01T09:15:00Z,31.8,11.8,42.93,NA,Utah
BDG,2018-01-01T09:35:00Z,31.6,11.3,42.33,NA,Utah
BDG,2018-01-01T09:55:00Z,30.2,12,46.21,NA,Utah
BDG,2018-01-01T10:15:00Z,30.2,12.2,46.62,NA,Utah
BDG,2018-01-01T10:35:00Z,30.6,12.2,45.87,NA,Utah
BDG,2018-01-01T10:55:00Z,30.2,12.2,46.62,NA,Utah
BDG,2018-01-01T11:15:00Z,30.2,11.8,45.8,NA,Utah
BDG,2018-01-01T11:35:00Z,31.1,11.8,44.16,NA,Utah
BDG,2018-01-01T11:55:00Z,27.9,12.2,51.21,NA,Utah
BDG,2018-01-01T12:15:00Z,26.2,12.6,55.91,NA,Utah
BDG,2018-01-01T12:35:00Z,25.5,12.2,56.55,NA,Utah
BDG,2018-01-01T12:55:00Z,26.1,13.1,57.4,NA,Utah
BDG,2018-01-01T13:15:00Z,26.6,12.7,55.24,NA,Utah
BDG,2018-01-01T13:35:00Z,26.1,12.7,56.39,NA,Utah
BDG,2018-01-01T13:55:00Z,25.2,12.9,59.06,NA,Utah
BDG,2018-01-01T14:15:00Z,27.7,13.1,53.73,NA,Utah
BDG,2018-01-01T14:35:00Z,24.6,12.6,59.76,NA,Utah
BDG,2018-01-01T14:55:00Z,28.9,12.7,50.26,NA,Utah
BDG,2018-01-01T15:15:00Z,32.2,13.1,44.74,NA,Utah
BDG,2018-01-01T15:35:00Z,34,15.8,46.84,NA,Utah
BDG,2018-01-01T15:55:00Z,37.4,15.1,39.7,NA,Utah
BDG,2018-01-01T16:15:00Z,39.6,11.7,31.37,NA,Utah
BDG,2018-01-01T16:35:00Z,41.2,11.8,29.61,NA,Utah
BDG,2018-01-01T16:55:00Z,41.9,12.2,29.34,NA,Utah
BDG,2018-01-01T17:15:00Z,42.4,12.2,28.78,NA,Utah
BDG,2018-01-01T17:35:00Z,43.5,12,27.35,NA,Utah
BDG,2018-01-01T17:55:00Z,44.1,12.2,26.96,NA,Utah
BDG,2018-01-01T18:15:00Z,44.2,12,26.62,NA,Utah
BDG,2018-01-01T18:35:00Z,45.9,12.2,25.18,NA,Utah
BDG,2018-01-01T18:55:00Z,46.9,10.4,22.38,NA,Utah
BDG,2018-01-01T19:15:00Z,47.1,10.2,22.02,NA,Utah
BDG,2018-01-01T19:35:00Z,46.9,9.3,21.31,NA,Utah
BDG,2018-01-01T19:55:00Z,46.8,9.7,21.78,NA,Utah
BDG,2018-01-01T20:15:00Z,47.8,9.7,20.97,NA,Utah
BDG,2018-01-01T20:35:00Z,48.2,9.5,20.47,NA,Utah
BDG,2018-01-01T20:55:00Z,48.2,9,20.02,NA,Utah
BDG,2018-01-01T21:15:00Z,47.5,9.1,20.65,NA,Utah
BDG,2018-01-01T21:35:00Z,47.8,9.1,20.41,NA,Utah
BDG,2018-01-01T21:55:00Z,48,9.5,20.63,NA,Utah
BDG,2018-01-01T22:15:00Z,48.4,10.4,21.16,NA,Utah
BDG,2018-01-01T22:35:00Z,49.1,10.4,20.61,NA,Utah
BDG,2018-01-01T22:55:00Z,48.4,10.6,21.35,NA,Utah
BDG,2018-01-01T23:15:00Z,48.2,10.9,21.8,NA,Utah
BDG,2018-01-01T23:35:00Z,47.3,10.9,22.54,NA,Utah
BDG,2018-01-01T23:55:00Z,45.1,10.4,23.96,NA,Utah
BDG,2018-01-02T00:15:00Z,42.8,9.9,25.58,NA,Utah
BDG,2018-01-02T00:35:00Z,40.8,9.5,27.15,NA,Utah
BDG,2018-01-02T00:55:00Z,38.8,9.7,29.61,NA,Utah
BDG,2018-01-02T01:15:00Z,32.9,10.2,38.25,NA,Utah
BDG,2018-01-02T01:35:00Z,33.6,10.2,37.19,NA,Utah
BDG,2018-01-02T01:55:00Z,32.5,10.8,39.92,NA,Utah
BDG,2018-01-02T02:15:00Z,32.5,10.4,39.22,NA,Utah
BDG,2018-01-02T02:35:00Z,33.6,10,36.86,NA,Utah
BDG,2018-01-02T02:55:00Z,34,11.1,38.1,NA,Utah
BDG,2018-01-02T03:15:00Z,34.3,10.6,36.82,NA,Utah
BDG,2018-01-02T03:35:00Z,36.1,10.4,33.97,NA,Utah
BDG,2018-01-02T03:55:00Z,36.1,11.3,35.36,NA,Utah
BDG,2018-01-02T04:15:00Z,38.1,10,30.84,NA,Utah
BDG,2018-01-02T04:35:00Z,34.2,9.5,35.19,NA,Utah
BDG,2018-01-02T04:55:00Z,37.2,9.3,30.97,NA,Utah
BDG,2018-01-02T05:15:00Z,37,10.9,33.52,NA,Utah
BDG,2018-01-02T05:35:00Z,37.9,9.5,30.4,NA,Utah
BDG,2018-01-02T05:55:00Z,36.9,9.7,31.9,NA,Utah
BDG,2018-01-02T06:15:00Z,38.5,10.8,31.46,NA,Utah
BDG,2018-01-02T06:35:00Z,39.9,10.4,29.26,NA,Utah
BDG,2018-01-02T06:55:00Z,34.2,10.9,37.46,NA,Utah
BDG,2018-01-02T07:15:00Z,34.3,11.1,37.64,NA,Utah
BDG,2018-01-02T07:35:00Z,32,10.9,40.92,NA,Utah
BDG,2018-01-02T07:55:00Z,30.9,11.3,43.54,NA,Utah
BDG,2018-01-02T08:15:00Z,32,11.7,42.4,NA,Utah
BDG,2018-01-02T08:35:00Z,29.8,11.5,45.94,NA,Utah
BDG,2018-01-02T08:55:00Z,29.1,11.3,46.85,NA,Utah
BDG,2018-01-02T09:15:00Z,29.8,11.1,45.13,NA,Utah
BDG,2018-01-02T09:35:00Z,33.3,10.8,38.66,NA,Utah
BDG,2018-01-02T09:55:00Z,32,10.4,40.01,NA,Utah
BDG,2018-01-02T10:15:00Z,30.9,10.2,41.46,NA,Utah
BDG,2018-01-02T10:36:00Z,32,10.6,40.37,NA,Utah
BDG,2018-01-02T10:55:00Z,26.6,10.9,51,NA,Utah
BDG,2018-01-02T11:15:00Z,26.4,10.9,51.43,NA,Utah
BDG,2018-01-02T11:35:00Z,26.4,10.9,51.43,NA,Utah
BDG,2018-01-02T11:55:00Z,26.1,11.1,52.54,NA,Utah
BDG,2018-01-02T12:15:00Z,26.8,10.9,50.59,NA,Utah
BDG,2018-01-02T12:35:00Z,22.5,10.2,58.66,NA,Utah
BDG,2018-01-02T12:55:00Z,25.7,10.4,51.78,NA,Utah
BDG,2018-01-02T13:15:00Z,32.9,10,37.91,NA,Utah
BDG,2018-01-02T13:35:00Z,33.6,9.9,36.69,NA,Utah
BDG,2018-01-02T13:55:00Z,25.9,10.8,52.27,NA,Utah
BDG,2018-01-02T14:15:00Z,25.9,10.6,51.81,NA,Utah
BDG,2018-01-02T14:35:00Z,23.5,10.8,57.77,NA,Utah
BDG,2018-01-02T14:55:00Z,26.2,10.9,51.86,NA,Utah
BDG,2018-01-02T15:15:00Z,29.1,11.8,47.9,NA,Utah
BDG,2018-01-02T15:35:00Z,33.6,11.7,39.76,NA,Utah
BDG,2018-01-02T15:55:00Z,40.1,9.9,28.4,NA,Utah
BDG,2018-01-02T16:15:00Z,39.7,9.7,28.59,NA,Utah
BDG,2018-01-02T16:35:00Z,43,11.1,26.78,NA,Utah
BDG,2018-01-02T16:55:00Z,43.5,12,27.35,NA,Utah
BDG,2018-01-02T17:15:00Z,43.2,12.2,27.91,NA,Utah
BDG,2018-01-02T17:35:00Z,44.1,11.8,26.49,NA,Utah
BDG,2018-01-02T17:55:00Z,45.7,11.3,24.38,NA,Utah
BDG,2018-01-02T18:15:00Z,46.6,10.9,23.15,NA,Utah
BDG,2018-01-02T18:35:00Z,48.2,11.1,21.99,NA,Utah
BDG,2018-01-02T18:55:00Z,47.3,10.2,21.85,NA,Utah
BDG,2018-01-02T19:15:00Z,48.4,8.4,19.34,NA,Utah
BDG,2018-01-02T19:35:00Z,49.5,6.8,17.27,NA,Utah
BDG,2018-01-02T19:55:00Z,50,6.6,16.8,NA,Utah
BDG,2018-01-02T20:15:00Z,50.5,5.7,15.82,NA,Utah
BDG,2018-01-02T20:35:00Z,50.9,5.4,15.38,NA,Utah
BDG,2018-01-02T20:55:00Z,51.8,4.3,14.15,NA,Utah
BDG,2018-01-02T21:15:00Z,50.9,5.4,15.38,NA,Utah
BDG,2018-01-02T21:35:00Z,50.5,4.3,14.84,NA,Utah
BDG,2018-01-02T21:55:00Z,50.9,3.7,14.23,NA,Utah
BDG,2018-01-02T22:15:00Z,49.5,4.6,15.62,NA,Utah
BDG,2018-01-02T22:35:00Z,48.6,8.2,19.03,NA,Utah
BDG,2018-01-02T22:55:00Z,47.3,6.6,18.58,NA,Utah
BDG,2018-01-02T23:15:00Z,45.3,7.3,20.69,NA,Utah
BDG,2018-01-02T23:35:00Z,43.5,6.6,21.46,NA,Utah
BDG,2018-01-02T23:55:00Z,41.5,6.6,23.18,NA,Utah
BDG,2018-01-03T00:15:00Z,40.5,6.8,24.32,NA,Utah
BDG,2018-01-03T00:35:00Z,41.4,6.6,23.27,NA,Utah
BDG,2018-01-03T00:55:00Z,37.4,-1.3,18.86,NA,Utah
BDG,2018-01-03T01:15:00Z,35.4,0.9,22.64,NA,Utah
BDG,2018-01-03T01:35:00Z,33.4,1.2,24.86,NA,Utah
BDG,2018-01-03T01:55:00Z,32.2,4.1,29.84,NA,Utah
BDG,2018-01-03T02:15:00Z,32.5,4.6,30.17,NA,Utah
BDG,2018-01-03T02:35:00Z,31.3,4.5,31.52,NA,Utah
BDG,2018-01-03T02:55:00Z,31.8,4.5,30.89,NA,Utah
BDG,2018-01-03T03:15:00Z,31.3,3.6,30.24,NA,Utah
BDG,2018-01-03T03:35:00Z,33.1,3,27.36,NA,Utah
BDG,2018-01-03T03:55:00Z,30.2,5,33.72,NA,Utah
BDG,2018-01-03T04:15:00Z,28.8,2.7,32.11,NA,Utah
BDG,2018-01-03T04:35:00Z,28.6,2.3,31.78,NA,Utah
BDG,2018-01-03T04:55:00Z,28.4,1.9,31.45,NA,Utah
BDG,2018-01-03T05:15:00Z,27.9,2.3,32.71,NA,Utah
BDG,2018-01-03T05:35:00Z,28.4,2.3,32.04,NA,Utah
BDG,2018-01-03T05:55:00Z,28.6,2.7,32.38,NA,Utah
BDG,2018-01-03T06:15:00Z,32.4,0.1,24.58,NA,Utah
BDG,2018-01-03T06:35:00Z,30.7,-1.3,24.65,NA,Utah
BDG,2018-01-03T06:55:00Z,28,0.1,29.4,NA,Utah
BDG,2018-01-03T07:15:00Z,26.6,0.1,31.14,NA,Utah
