station,valid,tmpf,dwpf,relh,skyc1,state
BMC,2018-01-01T00:15:00Z,31.8,20.5,62.62,NA,Utah
BMC,2018-01-01T00:35:00Z,31.3,19.6,61.5,NA,Utah
BMC,2018-01-01T00:55:00Z,30,20.8,68.22,NA,Utah
BMC,2018-01-01T01:15:00Z,28.2,20.8,73.43,NA,Utah
BMC,2018-01-01T01:35:00Z,27,19.9,74.25,NA,Utah
BMC,2018-01-01T01:55:00Z,26.1,20.3,78.39,NA,Utah
BMC,2018-01-01T02:15:00Z,27,19.4,72.68,NA,Utah
BMC,2018-01-01T02:35:00Z,26.4,18.1,70.47,NA,Utah
BMC,2018-01-01T02:55:00Z,25.5,17.2,70.36,NA,Utah
BMC,2018-01-01T03:15:00Z,24.6,17.6,74.32,NA,Utah
BMC,2018-01-01T03:35:00Z,24.4,18.1,76.57,NA,Utah
BMC,2018-01-01T03:55:00Z,23.9,17.8,77.19,NA,Utah
BMC,2018-01-01T04:15:00Z,22.8,18.1,81.88,NA,Utah
BMC,2018-01-01T04:35:00Z,22.8,16.9,77.75,NA,Utah
BMC,2018-01-01T04:55:00Z,21.9,16,77.67,NA,Utah
BMC,2018-01-01T05:15:00Z,21.6,16.3,79.69,NA,Utah
BMC,2018-01-01T05:35:00Z,21.6,15.8,77.98,NA,Utah
BMC,2018-01-01T05:55:00Z,20.3,16.2,83.85,NA,Utah
BMC,2018-01-01T06:15:00Z,21.2,16.7,82.47,NA,Utah
BMC,2018-01-01T06:35:00Z,21.4,15.3,76.95,NA,Utah
BMC,2018-01-01T06:55:00Z,20.8,15.1,78.25,NA,Utah
BMC,2018-01-01T07:15:00Z,20.7,14.7,77.22,NA,Utah
BMC,2018-01-01T07:35:00Z,21,14.2,74.59,NA,Utah
BMC,2018-01-01T07:55:00Z,20.8,14.2,75.23,NA,Utah
BMC,2018-01-01T08:15:00Z,20.8,14.2,75.23,NA,Utah
BMC,2018-01-01T08:35:00Z,20.7,14,74.89,NA,Utah
BMC,2018-01-01T08:55:00Z,21,14.5,75.58,NA,Utah
BMC,2018-01-01T09:15:00Z,21.2,15.1,76.93,NA,Utah
BMC,2018-01-01T09:35:00Z,21.2,14.9,76.26,NA,Utah
BMC,2018-01-01T09:55:00Z,21.6,14.9,74.98,NA,Utah
BMC,2018-01-01T10:15:00Z,21.7,15.3,75.98,NA,Utah
BMC,2018-01-01T10:35:00Z,21.9,15.8,77,NA,Utah
BMC,2018-01-01T10:55:00Z,21.9,15.8,77,NA,Utah
BMC,2018-01-01T11:15:00Z,21.7,15.3,75.98,NA,Utah
BMC,2018-01-01T11:35:00Z,21.9,14.9,74.04,NA,Utah
BMC,2018-01-01T11:55:00Z,21.9,14.7,73.39,NA,Utah
BMC,2018-01-01T12:15:00Z,21.4,14.7,74.96,NA,Utah
BMC,2018-01-01T12:35:00Z,21.2,14.5,74.94,NA,Utah
BMC,2018-01-01T13:00:00Z,21.2,15.6,78.63,NA,Utah
BMC,2018-01-01T13:15:00Z,21.2,16.2,80.7,NA,Utah
BMC,2018-01-01T13:35:00Z,22.3,15.4,74.4,NA,Utah
BMC,2018-01-01T13:55:00Z,22.1,14.7,72.78,NA,Utah
BMC,2018-01-01T14:15:00Z,22.3,14.4,71.23,NA,Utah
BMC,2018-01-01T14:35:00Z,22.6,15.3,73.15,NA,Utah
BMC,2018-01-01T14:55:00Z,22.5,15.4,73.78,NA,Utah
BMC,2018-01-01T15:15:00Z,22.6,16,75.41,NA,Utah
BMC,2018-01-01T15:35:00Z,22.3,16.7,78.72,NA,Utah
BMC,2018-01-01T16:00:00Z,23.2,17.2,77.46,NA,Utah
BMC,2018-01-01T16:15:00Z,24.3,18,76.56,NA,Utah
BMC,2018-01-01T16:35:00Z,25.3,18.5,75.03,NA,Utah
BMC,2018-01-01T16:55:00Z,26.4,18.5,71.69,NA,Utah
BMC,2018-01-01T17:15:00Z,27.3,19.4,71.79,NA,Utah
BMC,2018-01-01T17:35:00Z,28.9,20.3,69.85,NA,Utah
BMC,2018-01-01T17:55:00Z,30.2,20.8,67.67,NA,Utah
BMC,2018-01-01T18:15:00Z,30.7,21,66.88,NA,Utah
BMC,2018-01-01T18:35:00Z,31.5,21.6,66.41,NA,Utah
BMC,2018-01-01T18:55:00Z,32.4,21.7,64.32,NA,Utah
BMC,2018-01-01T19:15:00Z,33.3,20.7,59.46,NA,Utah
BMC,2018-01-01T19:35:00Z,34.5,20.8,56.92,NA,Utah
BMC,2018-01-01T19:55:00Z,35.8,18,47.95,NA,Utah
BMC,2018-01-01T20:15:00Z,36.5,14.9,40.78,NA,Utah
BMC,2018-01-01T20:35:00Z,37,15.1,40.34,NA,Utah
BMC,2018-01-01T20:55:00Z,37,15.8,41.58,NA,Utah
BMC,2018-01-01T21:15:00Z,37.9,17.8,43.76,NA,Utah
BMC,2018-01-01T21:35:00Z,38.7,17.6,42.05,NA,Utah
BMC,2018-01-01T21:55:00Z,38.7,17.2,41.33,NA,Utah
BMC,2018-01-01T22:15:00Z,39,18.7,43.57,NA,Utah
BMC,2018-01-01T22:35:00Z,38.8,20.5,47.42,NA,Utah
