station,valid,tmpf,dwpf,relh,skyc1,state
DPG,2018-01-02T11:55:00Z,13.6,11.3,90.34,NA,Utah
DPG,2018-01-02T12:54:00Z,11.8,10,92.3,NA,Utah
DPG,2018-01-02T13:52:00Z,9.7,7.5,90.58,NA,Utah
DPG,2018-01-02T14:55:00Z,7.5,5.9,92.99,NA,Utah
DPG,2018-01-02T15:50:00Z,12,9.3,88.67,NA,Utah
DPG,2018-01-02T16:58:00Z,22.5,17.4,80.46,NA,Utah
DPG,2018-01-02T17:50:00Z,29.3,18.9,64.73,NA,Utah
DPG,2018-01-02T18:52:00Z,33.4,18.5,53.91,NA,Utah
DPG,2018-01-02T19:55:00Z,39.2,18,41.95,NA,Utah
DPG,2018-01-02T20:58:00Z,39.6,19.4,43.86,NA,Utah
DPG,2018-01-02T21:52:00Z,39.7,19.2,43.32,NA,Utah
DPG,2018-01-02T23:05:00Z,36.9,20.3,50.66,NA,Utah
DPG,2018-01-02T23:55:00Z,30.9,18.3,59.12,NA,Utah
DPG,2018-01-03T11:58:00Z,9.5,7.3,90.57,NA,Utah
DPG,2018-01-03T12:55:00Z,9.1,6.4,88.52,NA,Utah
DPG,2018-01-03T13:53:00Z,8.8,6.8,91.36,NA,Utah
DPG,2018-01-03T14:53:00Z,8.1,5.4,88.46,NA,Utah
DPG,2018-01-03T15:58:00Z,14.2,11.1,87.22,NA,Utah
DPG,2018-01-03T16:58:00Z,23.9,16.2,72.03,NA,Utah
DPG,2018-01-03T17:57:00Z,28.6,19.8,69.23,NA,Utah
DPG,2018-01-03T18:50:00Z,32.7,20.7,60.91,NA,Utah
DPG,2018-01-03T19:58:00Z,34.5,19.6,54.08,NA,Utah
DPG,2018-01-03T20:56:00Z,37.6,18.7,46.03,NA,Utah
DPG,2018-01-03T21:58:00Z,38.5,18.1,43.3,NA,Utah
DPG,2018-01-03T22:57:00Z,36.7,19.8,49.99,NA,Utah
DPG,2018-01-03T23:50:00Z,35.2,19.4,52.15,NA,Utah
DPG,2018-01-04T11:58:00Z,10,7,87.37,NA,Utah
DPG,2018-01-04T12:55:00Z,10,7.2,88.16,NA,Utah
DPG,2018-01-04T13:50:00Z,9.3,6.4,87.73,NA,Utah
DPG,2018-01-04T14:55:00Z,8.6,5.9,88.49,NA,Utah
DPG,2018-01-04T15:55:00Z,17.6,13.6,84.03,NA,Utah
DPG,2018-01-04T16:58:00Z,23.7,16.2,72.64,NA,Utah
DPG,2018-01-04T17:56:00Z,28.6,18.5,65.48,NA,Utah
DPG,2018-01-04T18:55:00Z,34,20.5,57.33,NA,Utah
DPG,2018-01-04T19:53:00Z,39.4,20.3,45.93,NA,Utah
DPG,2018-01-04T20:56:00Z,40.5,19,41.63,NA,Utah
DPG,2018-01-04T21:52:00Z,40.6,19.2,41.83,NA,Utah
DPG,2018-01-04T22:54:00Z,43.2,18.5,36.72,NA,Utah
DPG,2018-01-05T00:30:00Z,32.4,20.5,61.13,NA,Utah
DPG,2018-01-05T11:55:00Z,12.2,9.5,88.68,NA,Utah
DPG,2018-01-05T12:53:00Z,15.6,12.2,86.15,NA,Utah
DPG,2018-01-05T13:52:00Z,14.4,11.1,86.46,NA,Utah
DPG,2018-01-08T14:59:00Z,22.8,21,NA,NA,Utah
DPG,2018-01-08T15:50:00Z,23,21,NA,NA,Utah
DPG,2018-01-08T16:54:00Z,26.6,23.5,NA,NA,Utah
DPG,2018-01-08T17:54:00Z,31.5,26.2,NA,NA,Utah
DPG,2018-01-08T18:57:00Z,33.4,27,NA,NA,Utah
DPG,2018-01-08T19:54:00Z,36.1,28.9,NA,NA,Utah
DPG,2018-01-08T20:53:00Z,37.8,29.1,NA,NA,Utah
DPG,2018-01-08T21:53:00Z,38.1,28.9,NA,NA,Utah
DPG,2018-01-08T23:20:00Z,37.6,31.6,NA,NA,Utah
DPG,2018-01-08T23:55:00Z,37.8,33.1,NA,NA,Utah
DPG,2018-01-09T14:59:00Z,43.3,38.1,81.75,NA,Utah
DPG,2018-01-09T15:58:00Z,43.3,38.5,83.04,NA,Utah
DPG,2018-01-09T16:54:00Z,45.3,39.6,80.31,NA,Utah
DPG,2018-01-09T17:58:00Z,46.2,40.3,79.76,NA,Utah
