station,valid,tmpf,dwpf,relh,skyc1,state
HIF,2018-01-01T00:58:00Z,29.7,12.4,48,NA,Utah
HIF,2018-01-01T01:58:00Z,29.3,12,47.94,NA,Utah
HIF,2018-01-01T02:58:00Z,25.5,11.7,55.31,NA,Utah
HIF,2018-01-01T03:58:00Z,25.7,10.9,52.94,NA,Utah
HIF,2018-01-01T04:58:00Z,24.8,10.4,53.75,NA,Utah
HIF,2018-01-01T05:58:00Z,25.9,10.6,51.81,NA,Utah
HIF,2018-01-01T06:58:00Z,25.5,9.5,50.15,NA,Utah
HIF,2018-01-01T07:08:00Z,24.8,10.4,53.75,NA,Utah
HIF,2018-01-01T07:58:00Z,24.8,9.7,52.1,NA,Utah
HIF,2018-01-01T08:58:00Z,26.1,10.8,51.84,NA,Utah
HIF,2018-01-01T09:23:00Z,24.8,10.4,53.75,NA,Utah
HIF,2018-01-01T09:58:00Z,24.3,9.5,52.72,NA,Utah
HIF,2018-01-01T10:58:00Z,23.4,9.9,55.73,NA,Utah
HIF,2018-01-01T11:58:00Z,22.6,9.3,56.11,NA,Utah
HIF,2018-01-01T12:58:00Z,22.3,9.7,57.85,NA,Utah
HIF,2018-01-01T13:58:00Z,23,9.7,56.17,NA,Utah
HIF,2018-01-01T14:58:00Z,21.9,9.3,57.79,NA,Utah
HIF,2018-01-01T15:58:00Z,22.8,10.6,58.97,NA,Utah
HIF,2018-01-01T16:58:00Z,26.4,12,54,NA,Utah
HIF,2018-01-01T17:58:00Z,30.2,13.8,50.02,NA,Utah
HIF,2018-01-01T18:58:00Z,34.3,16.2,47.09,NA,Utah
HIF,2018-01-01T19:58:00Z,35.1,19.2,51.91,NA,Utah
HIF,2018-01-01T20:58:00Z,37.8,21.2,50.81,NA,Utah
HIF,2018-01-01T21:23:00Z,37.4,21.2,51.61,NA,Utah
HIF,2018-01-01T21:28:00Z,37.4,21.2,51.61,NA,Utah
HIF,2018-01-01T21:58:00Z,38.8,19.2,44.87,NA,Utah
HIF,2018-01-01T22:58:00Z,39.4,22.3,49.99,NA,Utah
HIF,2018-01-01T23:58:00Z,34.7,23,61.96,NA,Utah
HIF,2018-01-02T00:58:00Z,33.3,21.2,60.73,NA,Utah
HIF,2018-01-02T01:58:00Z,30.7,19.2,61.94,NA,Utah
HIF,2018-01-02T02:58:00Z,28.9,19,66.08,NA,Utah
HIF,2018-01-02T03:58:00Z,30.2,18,60.04,NA,Utah
HIF,2018-01-02T04:58:00Z,27.3,17.1,65.03,NA,Utah
HIF,2018-01-02T05:58:00Z,27.5,16.5,62.85,NA,Utah
HIF,2018-01-02T06:58:00Z,27.1,16.5,63.89,NA,Utah
HIF,2018-01-02T07:58:00Z,26.2,16.7,66.89,NA,Utah
HIF,2018-01-02T08:58:00Z,25.5,16.2,67.38,NA,Utah
HIF,2018-01-02T09:58:00Z,24.3,15.8,69.61,NA,Utah
HIF,2018-01-02T10:58:00Z,24.4,15.4,68.13,NA,Utah
HIF,2018-01-02T11:58:00Z,24.1,15.4,68.99,NA,Utah
HIF,2018-01-02T12:58:00Z,22.8,14.5,70.05,NA,Utah
HIF,2018-01-02T13:58:00Z,20.3,13.3,73.87,NA,Utah
HIF,2018-01-02T14:58:00Z,20.8,13.3,72.32,NA,Utah
HIF,2018-01-02T15:58:00Z,22.3,13.3,67.87,NA,Utah
HIF,2018-01-02T16:58:00Z,24.3,15.3,68.12,NA,Utah
HIF,2018-01-02T17:58:00Z,27.1,16.5,63.89,NA,Utah
HIF,2018-01-02T18:58:00Z,30.7,18.1,59.09,NA,Utah
HIF,2018-01-02T19:58:00Z,34.2,20.1,55.91,NA,Utah
HIF,2018-01-02T20:58:00Z,34.9,18.1,49.91,NA,Utah
HIF,2018-01-02T21:58:00Z,37.2,18.3,45.96,NA,Utah
HIF,2018-01-02T22:58:00Z,35.6,18.9,50.24,NA,Utah
HIF,2018-01-02T23:58:00Z,33.6,21.2,60.01,NA,Utah
HIF,2018-01-03T00:58:00Z,29.5,19.9,67.01,NA,Utah
HIF,2018-01-03T01:58:00Z,29.1,19.9,68.12,NA,Utah
HIF,2018-01-03T02:58:00Z,25.3,15.3,65.34,NA,Utah
HIF,2018-01-03T03:58:00Z,26.4,14.7,60.81,NA,Utah
HIF,2018-01-03T04:58:00Z,25.5,14.7,63.12,NA,Utah
HIF,2018-01-03T05:58:00Z,23.9,13.5,64.02,NA,Utah
HIF,2018-01-03T06:58:00Z,23,12.2,62.78,NA,Utah
HIF,2018-01-03T07:58:00Z,22.3,11.7,63.24,NA,Utah
HIF,2018-01-03T08:58:00Z,22.8,10.6,58.97,NA,Utah
HIF,2018-01-03T09:58:00Z,21.7,9.1,57.76,NA,Utah
HIF,2018-01-03T10:58:00Z,20.3,9,61.02,NA,Utah
HIF,2018-01-03T11:58:00Z,20.1,8.4,59.9,NA,Utah
HIF,2018-01-03T12:58:00Z,20.1,8.4,59.9,NA,Utah
HIF,2018-01-03T13:58:00Z,18.7,7,59.7,NA,Utah
HIF,2018-01-03T14:58:00Z,19.4,7,57.94,NA,Utah
HIF,2018-01-03T15:58:00Z,18.7,6.6,58.62,NA,Utah
HIF,2018-01-03T16:58:00Z,21.6,9.9,60.12,NA,Utah
HIF,2018-01-03T17:58:00Z,23.5,8.1,51.19,NA,Utah
HIF,2018-01-03T18:58:00Z,27.1,9.5,46.94,NA,Utah
HIF,2018-01-03T19:58:00Z,30.6,14.2,50.09,NA,Utah
HIF,2018-01-03T20:58:00Z,34,13.8,42.92,NA,Utah
HIF,2018-01-03T21:58:00Z,37.6,14.2,37.87,NA,Utah
HIF,2018-01-03T22:58:00Z,33.6,11.8,39.93,NA,Utah
HIF,2018-01-03T23:58:00Z,31.3,10.8,41.9,NA,Utah
HIF,2018-01-04T00:58:00Z,27,10.4,49.06,NA,Utah
