station,valid,tmpf,dwpf,relh,skyc1,state
U42,2018-01-01T00:15:00Z,31.1,21,65.8,NA,Utah
U42,2018-01-01T00:35:00Z,30.7,20.3,64.92,NA,Utah
U42,2018-01-01T00:55:00Z,30.7,20.8,66.31,NA,Utah
U42,2018-01-01T01:15:00Z,30.2,20.5,66.81,NA,Utah
U42,2018-01-01T01:35:00Z,30.2,20.3,66.25,NA,Utah
U42,2018-01-01T01:55:00Z,29.8,19.2,64.25,NA,Utah
U42,2018-01-01T02:15:00Z,28.9,20.5,70.45,NA,Utah
U42,2018-01-01T02:35:00Z,28.2,20.8,73.43,NA,Utah
U42,2018-01-01T02:55:00Z,27.5,20.7,75.25,NA,Utah
U42,2018-01-01T03:15:00Z,26.8,20.3,76.15,NA,Utah
U42,2018-01-01T03:35:00Z,26.4,20.5,78.08,NA,Utah
U42,2018-01-01T03:55:00Z,28,19.9,71.25,NA,Utah
U42,2018-01-01T04:15:00Z,27.3,19.4,71.79,NA,Utah
U42,2018-01-01T04:35:00Z,26.6,19.9,75.48,NA,Utah
U42,2018-01-01T04:55:00Z,26.1,20.1,77.72,NA,Utah
U42,2018-01-01T05:15:00Z,25.9,19.8,77.37,NA,Utah
U42,2018-01-01T05:35:00Z,25.7,19.9,78.35,NA,Utah
U42,2018-01-01T05:55:00Z,25.7,19.6,77.35,NA,Utah
U42,2018-01-01T06:15:00Z,25.3,19.9,79.66,NA,Utah
U42,2018-01-01T06:35:00Z,25.7,19.9,78.35,NA,Utah
U42,2018-01-01T06:55:00Z,25.5,19.4,77.34,NA,Utah
U42,2018-01-01T07:15:00Z,26.2,19.2,74.48,NA,Utah
U42,2018-01-01T07:35:00Z,25.7,19.2,76.04,NA,Utah
U42,2018-01-01T07:55:00Z,25.5,19.2,76.68,NA,Utah
U42,2018-01-01T08:15:00Z,25.7,19,75.4,NA,Utah
U42,2018-01-01T08:35:00Z,25.5,19.2,76.68,NA,Utah
U42,2018-01-01T08:55:00Z,25.7,19.4,76.7,NA,Utah
U42,2018-01-01T09:15:00Z,24.4,19.2,80.27,NA,Utah
U42,2018-01-01T09:35:00Z,28.6,18.9,66.61,NA,Utah
U42,2018-01-01T09:55:00Z,27.5,19,69.99,NA,Utah
U42,2018-01-01T10:15:00Z,26.1,18.9,73.84,NA,Utah
U42,2018-01-01T10:35:00Z,27.5,19,69.99,NA,Utah
U42,2018-01-01T10:55:00Z,25.7,19,75.4,NA,Utah
U42,2018-01-01T11:15:00Z,25.5,18.9,75.7,NA,Utah
U42,2018-01-01T11:35:00Z,24.6,19.2,79.6,NA,Utah
U42,2018-01-01T11:55:00Z,27.1,19.4,72.38,NA,Utah
U42,2018-01-01T12:15:00Z,27.3,19.4,71.79,NA,Utah
U42,2018-01-01T12:35:00Z,28.4,19.9,70.09,NA,Utah
U42,2018-01-01T12:55:00Z,28.9,19.4,67.22,NA,Utah
U42,2018-01-01T13:15:00Z,28.2,19.6,69.77,NA,Utah
U42,2018-01-01T13:35:00Z,27.7,19.9,72.14,NA,Utah
U42,2018-01-01T13:55:00Z,27.9,19.6,70.64,NA,Utah
U42,2018-01-01T14:15:00Z,27.3,19.4,71.79,NA,Utah
U42,2018-01-01T14:35:00Z,27.1,20.1,74.58,NA,Utah
U42,2018-01-01T14:55:00Z,27.3,19.9,73.34,NA,Utah
U42,2018-01-01T15:15:00Z,26.6,19.9,75.48,NA,Utah
U42,2018-01-01T15:35:00Z,26.2,20.7,79.4,NA,Utah
U42,2018-01-01T15:55:00Z,26.2,20.1,77.4,NA,Utah
U42,2018-01-01T16:15:00Z,28.9,22.5,76.67,NA,Utah
U42,2018-01-01T16:35:00Z,31.3,22.6,69.84,NA,Utah
U42,2018-01-01T16:55:00Z,32,22.3,67.04,NA,Utah
U42,2018-01-01T17:15:00Z,32.9,22.8,66.03,NA,Utah
U42,2018-01-01T17:35:00Z,34,22.3,61.87,NA,Utah
U42,2018-01-01T17:55:00Z,34.9,22.1,59.19,NA,Utah
U42,2018-01-01T18:15:00Z,35.4,22.8,59.76,NA,Utah
U42,2018-01-01T18:35:00Z,36.7,23.5,58.45,NA,Utah
U42,2018-01-01T18:55:00Z,37.2,22.5,54.95,NA,Utah
U42,2018-01-01T19:15:00Z,38.1,22.6,53.27,NA,Utah
U42,2018-01-01T19:35:00Z,38.8,25,57.31,NA,Utah
U42,2018-01-01T19:55:00Z,39,25.3,57.58,NA,Utah
U42,2018-01-01T20:15:00Z,39.2,26.2,59.3,NA,Utah
U42,2018-01-01T20:35:00Z,39.2,26.1,59.06,NA,Utah
U42,2018-01-01T20:55:00Z,39.4,25.7,57.63,NA,Utah
U42,2018-01-01T21:15:00Z,40.3,25.3,54.73,NA,Utah
U42,2018-01-01T21:35:00Z,40.6,25.3,54.1,NA,Utah
U42,2018-01-01T21:55:00Z,40.6,25.3,54.1,NA,Utah
U42,2018-01-01T22:15:00Z,41,25.5,53.71,NA,Utah
U42,2018-01-01T22:35:00Z,40.5,26.4,56.84,NA,Utah
U42,2018-01-01T22:55:00Z,41,26.4,55.75,NA,Utah
U42,2018-01-01T23:15:00Z,41.2,26.2,54.87,NA,Utah
U42,2018-01-01T23:35:00Z,37.8,25.7,61.36,NA,Utah
U42,2018-01-01T23:55:00Z,34.2,25.5,70.17,NA,Utah
U42,2018-01-02T00:15:00Z,32.9,26.1,75.78,NA,Utah
U42,2018-01-02T00:35:00Z,32,27,81.55,NA,Utah
U42,2018-01-02T00:55:00Z,32.7,26.8,78.64,NA,Utah
U42,2018-01-02T01:15:00Z,32.9,25.7,74.54,NA,Utah
U42,2018-01-02T01:35:00Z,31.6,25.7,78.54,NA,Utah
U42,2018-01-02T01:55:00Z,29.5,25.9,86.24,NA,Utah
U42,2018-01-02T02:15:00Z,30.9,25,78.48,NA,Utah
U42,2018-01-02T02:35:00Z,31.3,25.3,78.19,NA,Utah
U42,2018-01-02T02:55:00Z,31.1,24.6,76.56,NA,Utah
U42,2018-01-02T03:15:00Z,30.7,24.4,77.16,NA,Utah
U42,2018-01-02T03:35:00Z,30.2,23.9,77.12,NA,Utah
U42,2018-01-02T03:55:00Z,30,23.7,77.1,NA,Utah
U42,2018-01-02T04:15:00Z,29.8,23.5,77.08,NA,Utah
U42,2018-01-02T04:35:00Z,28,23.5,82.97,NA,Utah
U42,2018-01-02T04:55:00Z,27.5,23.2,83.63,NA,Utah
U42,2018-01-02T05:15:00Z,28.8,22.1,75.7,NA,Utah
U42,2018-01-02T05:35:00Z,27.1,23.2,85.02,NA,Utah
U42,2018-01-02T05:55:00Z,25.9,22.6,87.12,NA,Utah
U42,2018-01-02T06:15:00Z,26.6,22.6,84.63,NA,Utah
U42,2018-01-02T06:35:00Z,27,22.5,82.9,NA,Utah
U42,2018-01-02T06:55:00Z,26.2,22.5,85.68,NA,Utah
U42,2018-01-02T07:15:00Z,25.7,22.1,86.01,NA,Utah
U42,2018-01-02T07:35:00Z,25.2,21.7,86.35,NA,Utah
